[2026-05-17 16:04:25] INFO [train:101] PPO Configuration: RolloutBuffer=4096, MiniBatch=256, TotalSteps=81920
[2026-05-17 16:04:25] INFO [train:129] ===== Starting KON-Artist Training Session =====
[2026-05-17 16:04:25] INFO [train:132] Loading MTUCI/AASIST3 model for batched inference.
[2026-05-17 16:04:26] INFO [aasist:52] Successfully imported aasist3 from the AASIST3 repository.
[2026-05-17 16:04:49] INFO [aasist:64] Loaded AASIST3 model from Hugging Face: MTUCI/AASIST3
[2026-05-17 16:04:49] INFO [aasist:38] AASIST3 model loaded on cuda
[2026-05-17 16:04:49] INFO [train:136] Instantiating 1 parallel environments.
[2026-05-17 16:04:49] INFO [train:143] Wrapping environment with VecDetectorWrapper for GPU batching.
[2026-05-17 16:04:49] INFO [train:153] Configuring PPO agent.
[2026-05-17 16:04:56] INFO [train:217] Beginning training: TOTAL_TIMESTEPS=81920, BATCH_TOTAL=4096
[2026-05-17 16:04:56] INFO [audio_attack:161] Initializing worker audio stream with config: {'split': 'train', 'seed': 42, 'buffer_size': 1000}
[2026-05-17 16:05:03] INFO [audio_attack:171] Environment Reset: Loading new sample (Label: Spoof)
[2026-05-17 16:05:04] INFO [callbacks:41] Reward logging started at: outputs/history/rewards_20260517_160451.csv
[2026-05-17 16:05:10] INFO [reward_logic:72] Worker 0 | Step 35/81920 (0.0%) | DSP: Batched | Score: 0.0000 | Reward: 5.30
[2026-05-17 16:05:10] INFO [reward_logic:72] Worker 0 | Step 36/81920 (0.0%) | DSP: Batched | Score: 0.0000 | Reward: 8.58
[2026-05-17 16:05:10] INFO [reward_logic:72] Worker 0 | Step 37/81920 (0.0%) | DSP: Batched | Score: 0.0000 | Reward: 5.30
[2026-05-17 16:05:11] INFO [reward_logic:72] Worker 0 | Step 38/81920 (0.0%) | DSP: Batched | Score: 0.0000 | Reward: 9.21
[2026-05-17 16:05:11] INFO [reward_logic:72] Worker 0 | Step 39/81920 (0.0%) | DSP: Batched | Score: 0.0000 | Reward: 9.88
[2026-05-17 16:05:11] INFO [reward_logic:72] Worker 0 | Step 40/81920 (0.0%) | DSP: Batched | Score: 0.0000 | Reward: 8.20
[2026-05-17 16:05:11] INFO [reward_logic:72] Worker 0 | Step 41/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 8.24
[2026-05-17 16:05:11] INFO [reward_logic:72] Worker 0 | Step 42/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 5.30
[2026-05-17 16:05:11] INFO [reward_logic:72] Worker 0 | Step 43/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 12.29
[2026-05-17 16:05:11] INFO [reward_logic:72] Worker 0 | Step 44/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 8.93
[2026-05-17 16:05:12] INFO [reward_logic:72] Worker 0 | Step 45/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 9.35
[2026-05-17 16:05:12] INFO [reward_logic:72] Worker 0 | Step 46/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 13.20
[2026-05-17 16:05:12] INFO [reward_logic:72] Worker 0 | Step 47/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 12.55
[2026-05-17 16:05:12] INFO [reward_logic:72] Worker 0 | Step 48/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 8.63
[2026-05-17 16:05:12] INFO [reward_logic:72] Worker 0 | Step 49/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 9.34
[2026-05-17 16:05:12] INFO [reward_logic:72] Worker 0 | Step 50/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 5.88
[2026-05-17 16:05:12] INFO [reward_logic:72] Worker 0 | Step 51/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 14.79
[2026-05-17 16:05:13] INFO [reward_logic:72] Worker 0 | Step 52/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 11.64
[2026-05-17 16:05:13] INFO [reward_logic:72] Worker 0 | Step 53/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 9.42
[2026-05-17 16:05:13] INFO [reward_logic:72] Worker 0 | Step 54/81920 (0.1%) | DSP: Batched | Score: 0.0000 | Reward: 5.30
