step,reward,score,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
8842,0.6877971291542053,0.6877971291542053,-1.0,-0.16981979,0.62882376,-0.60944706,-23.090698719024655,1.0,70326
20218,0.6971407532691956,0.6971407532691956,-0.073221415,-0.06532827,-0.5334231,-0.987699,-45.829901695251465,1.0,79029
22263,0.8401864171028137,0.8401864171028137,-1.0,-1.0,-0.6241263,0.13502845,-54.368882179260254,1.0,156098
