step,reward
11,124.464343
12,124.464343
13,124.464343
14,124.464343
15,124.464343
16,124.464343
17,124.464343
18,124.464343
19,124.464343
20,124.464343
21,101.481207
22,101.481207
23,101.481207
24,101.481207
25,101.481207
26,101.481207
27,101.481207
28,101.481207
29,101.481207
30,101.481207
31,83.933996
32,83.933996
33,83.933996
34,83.933996
35,83.933996
36,83.933996
37,83.933996
38,83.933996
39,83.933996
40,83.933996
41,100.869028
42,100.869028
43,100.869028
44,100.869028
45,100.869028
46,100.869028
47,100.869028
48,100.869028
49,100.869028
50,100.869028
51,106.932744
52,106.932744
53,106.932744
54,106.932744
55,106.932744
56,106.932744
57,106.932744
58,106.932744
59,106.932744
60,106.932744
61,84.496701
62,84.496701
63,84.496701
64,84.496701
65,84.496701
66,84.496701
67,84.496701
68,84.496701
69,84.496701
70,84.496701
71,82.210614
72,82.210614
73,82.210614
74,82.210614
75,82.210614
76,82.210614
77,82.210614
78,82.210614
79,82.210614
80,82.210614
81,81.027453
82,81.027453
83,81.027453
84,81.027453
85,81.027453
86,81.027453
87,81.027453
88,81.027453
89,81.027453
90,81.027453
91,93.774001
92,93.774001
93,93.774001
94,93.774001
95,93.774001
96,93.774001
97,93.774001
98,93.774001
99,93.774001
100,93.774001
101,91.861351
102,91.861351
103,91.861351
104,91.861351
105,91.861351
106,91.861351
107,91.861351
108,91.861351
109,91.861351
110,91.861351
111,114.337434
112,114.337434
113,114.337434
114,114.337434
115,114.337434
116,114.337434
117,114.337434
118,114.337434
119,114.337434
120,114.337434
121,96.326546
122,96.326546
123,96.326546
124,96.326546
125,96.326546
126,96.326546
127,96.326546
128,96.326546
129,96.326546
130,96.326546
131,97.601799
132,97.601799
133,97.601799
134,97.601799
135,97.601799
136,97.601799
137,97.601799
138,97.601799
139,97.601799
140,97.601799
141,90.936556
142,90.936556
143,90.936556
144,90.936556
145,90.936556
146,90.936556
147,90.936556
148,90.936556
149,90.936556
150,90.936556
151,102.870374
152,102.870374
153,102.870374
154,102.870374
155,102.870374
156,102.870374
157,102.870374
158,102.870374
159,102.870374
160,102.870374
161,74.77387
162,74.77387
163,74.77387
164,74.77387
165,74.77387
166,74.77387
167,74.77387
168,74.77387
169,74.77387
170,74.77387
171,90.574461
172,90.574461
173,90.574461
174,90.574461
175,90.574461
176,90.574461
177,90.574461
178,90.574461
179,90.574461
180,90.574461
181,100.367499
182,100.367499
183,100.367499
184,100.367499
185,100.367499
186,100.367499
187,100.367499
188,100.367499
189,100.367499
190,100.367499
191,114.251281
192,114.251281
193,114.251281
194,114.251281
195,114.251281
196,114.251281
197,114.251281
198,114.251281
199,114.251281
200,114.251281
201,93.043388
202,93.043388
203,93.043388
204,93.043388
205,93.043388
206,93.043388
207,93.043388
208,93.043388
209,93.043388
210,93.043388
211,107.14712
212,107.14712
213,107.14712
214,107.14712
215,107.14712
216,107.14712
217,107.14712
218,107.14712
219,107.14712
220,107.14712
221,109.141317
222,109.141317
223,109.141317
224,109.141317
225,109.141317
226,109.141317
227,109.141317
228,109.141317
229,109.141317
230,109.141317
231,76.013683
232,76.013683
233,76.013683
234,76.013683
235,76.013683
236,76.013683
237,76.013683
238,76.013683
239,76.013683
240,76.013683
241,95.552615
242,95.552615
243,95.552615
244,95.552615
245,95.552615
246,95.552615
247,95.552615
248,95.552615
249,95.552615
250,95.552615
251,82.803942
252,82.803942
253,82.803942
254,82.803942
255,82.803942
256,82.803942
257,82.803942
258,82.803942
259,82.803942
260,82.803942
261,122.485661
262,122.485661
263,122.485661
264,122.485661
265,122.485661
266,122.485661
267,122.485661
268,122.485661
269,122.485661
270,122.485661
271,80.764178
272,80.764178
273,80.764178
274,80.764178
275,80.764178
276,80.764178
277,80.764178
278,80.764178
279,80.764178
280,80.764178
281,93.270515
282,93.270515
283,93.270515
284,93.270515
