step,reward,score,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
60,114.695627,114.695627,-1.0,1.0,0.29265726,1.0,-52.4440860748291,4.171394318342209,45501
61,106.492506,106.492506,0.8376307,-0.3790013,0.19806968,0.11037257,-56.37424111366272,8.74794727563858,119119
62,82.039073,82.039073,-0.10111033,-0.3498042,-1.0,-0.36742696,-32.904308438301086,4.678839057683945,46948
63,97.305175,97.305175,-1.0,-0.6758711,-0.6893897,-0.10536954,-20.0,3.6581506431102753,98824
64,92.721314,92.721314,-1.0,-0.26038045,1.0,-0.33531493,-44.12127822637558,1.0,108863
65,103.198241,103.198241,0.011348437,0.15547132,-0.39764166,0.9695412,-32.49098300933838,8.011446803808212,72949
66,112.404735,112.404735,-0.83918786,0.8901985,-0.5324106,0.121209666,-45.10955572128296,11.0,32000
67,89.689569,89.689569,0.7424907,0.49422732,1.0,-0.5676798,-43.51231634616852,3.2826316952705383,143314
68,100.311781,100.311781,0.62069064,-0.1346324,-0.10524161,1.0,-35.92955082654953,11.0,142153
69,96.478783,96.478783,1.0,-1.0,1.0,0.06145382,-28.057435750961304,8.297234386205673,108946
70,70.62915,70.62915,-0.4703427,0.70629597,-1.0,-1.0,-39.92948804982007,11.0,43907
71,78.06184,78.06184,-1.0,0.68436086,-1.0,-0.899999,-37.94144779443741,6.329159237444401,32000
72,95.690791,95.690791,-0.3345603,-0.18852042,-1.0,-0.85667676,-60.0,1.995396971702576,107750
73,76.441488,76.441488,-1.0,1.0,0.15216629,-0.015043248,-43.32325428724289,8.190356999635696,119871
74,118.282397,118.282397,0.7708435,0.9088558,0.322187,-0.21190079,-60.0,9.284187018871307,32000
75,98.543249,98.543249,1.0,-1.0,-0.20664506,0.17967877,-60.0,9.812557756900787,139683
76,97.604393,97.604393,1.0,0.36856514,-1.0,-0.36367658,-46.78522706031799,4.782041072845459,160000
77,89.117185,89.117185,1.0,0.097900726,-0.25865743,0.4419404,-43.98510873317719,9.500617742538452,160000
78,108.063909,108.063909,0.19853166,-1.0,0.6016406,1.0,-60.0,7.159645393490791,32000
79,110.750918,110.750918,0.05814348,-0.08963805,0.69180375,-0.4081085,-60.0,6.747786685824394,66636
80,78.755893,78.755893,0.47730207,-1.0,0.80987495,-1.0,-38.63377824425697,1.8860155940055847,32000
81,134.587041,134.587041,1.0,0.9369564,0.53680956,0.37765443,-47.75789618492127,7.037802249193192,92662
82,94.196853,94.196853,-0.19916175,-0.57010454,0.7623206,-1.0,-25.35493850708008,10.181868433952332,144825
83,99.551759,99.551759,0.6893427,-0.06271152,0.8875967,-1.0,-58.25803518295288,9.557788133621216,80272
84,84.371916,84.371916,-1.0,-0.7353405,-1.0,-0.57108194,-60.0,1.0,63569
85,79.882456,79.882456,0.44500816,-0.26136416,1.0,-1.0,-42.39456981420517,11.0,159836
86,98.722628,98.722628,1.0,0.07535105,-0.7807548,0.6885685,-60.0,11.0,42543
87,80.760126,80.760126,-0.25340426,1.0,-1.0,-0.53659964,-22.92596697807312,10.268161654472353,38828
88,82.91555,82.91555,0.038659416,0.75178355,-0.4400323,-0.13786644,-54.48772430419922,2.1923131346702576,107794
89,107.471848,107.471848,0.3567044,1.0,1.0,1.0,-20.0,11.0,138689
90,71.296274,71.296274,-1.0,-1.0,-1.0,0.12904121,-60.0,3.84647598862648,156969
91,115.66497,115.66497,0.63748574,1.0,0.5677107,1.0,-46.57380163669586,9.906566500663756,65585
92,109.311472,109.311472,-0.829414,0.08007376,-0.9179533,-0.8758821,-60.0,3.561304271221161,35830
93,97.671997,97.671997,-0.6146751,-0.8575964,1.0,0.4517011,-36.51189833879471,2.5622609853744507,125058
94,100.444439,100.444439,0.9669827,-1.0,0.6081329,0.6653952,-58.5566782951355,9.114515841007233,160000
95,96.91158,96.91158,0.23486324,-1.0,-0.36717793,-0.6242597,-60.0,5.620620645582676,160000
96,93.086135,93.086135,-1.0,0.022474337,1.0,0.080218464,-60.0,1.8054909110069275,89842
97,104.380926,104.380926,0.042055298,1.0,-0.69618356,-1.0,-58.43688607215881,1.2810531854629517,108890
98,68.087452,68.087452,0.19188926,-0.022891916,0.54490036,-1.0,-58.42790246009827,1.0,160000
99,77.657766,77.657766,-0.63035154,0.049323954,0.5977197,-0.8345388,-49.89728927612305,6.343412794172764,58437
100,104.121783,104.121783,1.0,0.40529472,0.3382988,1.0,-58.77439260482788,6.689075514674187,39495
101,86.623391,86.623391,-1.0,0.20599526,-0.28153613,1.0,-60.0,5.834906961768866,127617
102,110.271704,110.271704,0.7913254,-1.0,0.82071483,-0.4281444,-43.47778499126434,11.0,70545
103,104.684286,104.684286,0.49731097,0.39288515,0.20701742,-0.19293924,-20.0,3.237457036972046,84267
104,87.412572,87.412572,1.0,0.42411855,0.6636912,-0.18174015,-48.45258116722107,7.947287172079086,75163
105,81.515688,81.515688,-0.15313314,0.34959146,0.070046805,-0.14835905,-54.02352213859558,11.0,34566
106,95.853123,95.853123,-0.58952904,-0.90056,-0.13718717,1.0,-46.65346443653107,9.641396462917328,150225
107,116.477754,116.477754,-0.03868501,0.23129079,0.8669121,-0.57177866,-35.28137505054474,11.0,38944
108,79.296809,79.296809,0.7235502,-1.0,-1.0,0.835835,-60.0,5.115441590547562,32000
109,93.152551,93.152551,0.35572392,-0.5030872,-0.004045268,-0.6771342,-54.36756610870361,3.0087730884552,97396
110,84.851686,84.851686,-0.5067029,-0.13369454,-1.0,1.0,-55.678619146347046,5.358501583337784,32000
111,86.75156,86.75156,0.037880965,-0.6759794,-1.0,1.0,-20.0,5.246502295136452,105993
112,102.079009,102.079009,-0.46064785,-0.698325,0.24342412,-0.6187343,-50.53995370864868,1.0,62925
113,83.052412,83.052412,0.17896707,0.11724582,-1.0,1.0,-29.396625757217407,11.0,118802
114,77.263525,77.263525,0.26769307,-0.36764437,1.0,0.39768487,-60.0,1.0,160000
115,86.596526,86.596526,-0.5830124,0.7965611,-1.0,-0.25345957,-20.0,1.0,131300
116,74.889037,74.889037,1.0,-0.14296113,-1.0,0.53905135,-54.40887093544006,1.0,32000
117,86.149053,86.149053,-0.4145563,1.0,1.0,0.33063802,-46.09985589981079,9.59084814786911,53191
118,88.49394,88.49394,0.86219424,-0.5577369,0.4565381,0.14804812,-20.0,9.6620432138443,65519
119,70.534893,70.534893,-1.0,-1.0,1.0,-1.0,-56.57461404800415,1.0,38104
120,96.83907,96.83907,-0.68988633,-0.5311376,-0.29334456,0.15439117,-33.59817147254944,5.183246046304703,39698
121,119.288574,119.288574,0.5340224,0.17061116,-0.74385446,-1.0,-52.94719338417053,10.374311566352844,32000
122,95.884487,95.884487,-0.37262538,0.9941706,0.49381867,0.5693634,-53.064976930618286,6.956901907920837,58360
123,68.908902,68.908902,0.31259236,-1.0,-1.0,-1.0,-23.748942613601685,7.76453709602356,32000
124,111.7448,111.7448,0.115929425,0.5515083,-0.17639957,-0.033600464,-43.26047718524933,11.0,32000
125,90.664721,90.664721,1.0,1.0,0.65786475,-0.06935948,-20.0,4.979281336069107,34185
126,109.436335,109.436335,-1.0,0.5064047,0.24671018,-1.0,-20.0,1.0,86174
127,119.456525,119.456525,-0.98133737,1.0,-1.0,0.09364879,-55.710824728012085,4.767567649483681,70604
128,80.665928,80.665928,-0.4854221,1.0,0.70558155,-1.0,-60.0,3.1886560320854187,64728
129,103.854878,103.854878,0.17120059,-0.75316185,-0.8252508,1.0,-55.993144512176514,6.687995329499245,156147
130,111.903292,111.903292,0.09520286,-0.8417586,-0.102400854,-0.22224216,-60.0,11.0,32000
131,88.595801,88.595801,0.38266337,1.0,0.64530915,-1.0,-36.23125076293945,4.343692421913147,160000
132,112.912228,112.912228,-0.9871427,-0.6744564,-0.20809759,-0.84316057,-20.0,5.588033892214298,160000
133,89.300887,89.300887,-1.0,0.5261897,-1.0,0.82824624,-60.0,8.804359197616577,91771
134,77.966709,77.966709,0.62776387,-1.0,0.38337094,-0.068824284,-20.0,8.326913475990295,126927
135,84.462819,84.462819,-0.92123103,0.91224194,0.9218553,-1.0,-20.0,1.0,46940
136,63.28117,63.28117,1.0,0.16270821,-0.14297228,-0.3259113,-60.0,1.0,114265
137,90.533674,90.533674,0.19847426,0.819162,-0.41553116,0.22413626,-29.50155973434448,11.0,118864
138,83.257711,83.257711,0.7427308,0.4058491,0.11364293,-0.7809209,-31.445652842521667,7.486468911170959,106495
139,85.275093,85.275093,0.18595172,-1.0,-0.32850292,0.34485704,-54.83238577842712,11.0,45330
140,69.708244,69.708244,-0.47896722,0.3647864,-0.8222955,0.5738956,-46.64386868476868,11.0,102009
141,105.506224,105.506224,-0.88648206,-0.38475293,-0.25441277,0.72590894,-51.46528363227844,10.79369044303894,160000
142,87.86889,87.86889,-1.0,-0.30515698,-0.54007053,0.22734843,-44.34864670038223,1.0,74619
143,95.255649,95.255649,0.16405144,-0.5063237,-0.26285484,-1.0,-55.26517271995544,9.864259719848633,147708
144,69.498156,69.498156,0.3156931,-0.3601039,0.115634166,-0.65682864,-56.79868698120117,1.20632803440094,115696
145,115.959609,115.959609,-1.0,1.0,-0.4000809,0.68522406,-42.292988300323486,7.318790018558502,160000
146,96.641377,96.641377,1.0,-1.0,-0.9396634,-0.38941342,-54.74549293518066,11.0,81041
147,73.765046,73.765046,-0.58910936,-1.0,-1.0,-0.9289122,-31.385621428489685,7.083805933594704,32000
148,129.499156,129.499156,-0.9854722,-0.15645844,-0.6935748,0.07200588,-36.02072060108185,11.0,68534
149,108.191124,108.191124,-0.061616328,0.9759207,-0.12650287,0.18789645,-60.0,1.0894233584403992,160000
150,75.866348,75.866348,-1.0,0.37969536,-0.08515776,-1.0,-60.0,7.509318053722382,32000
151,91.854496,91.854496,1.0,0.9065816,-1.0,0.651713,-20.0,1.0,95469
152,137.448834,137.448834,-1.0,-0.98953414,-0.19241348,0.2843318,-36.03262662887573,1.0,135369
153,106.740384,106.740384,-0.13072658,0.5570769,1.0,-0.64121133,-20.0,8.495134472846985,160000
154,73.227239,73.227239,0.17719007,-1.0,0.4619184,-0.32677636,-45.51050901412964,4.121832758188248,103062
155,80.561017,80.561017,0.010399232,0.6625116,-0.5808158,1.0,-60.0,8.870945036411285,51993
156,94.873715,94.873715,0.49915898,0.6126443,-1.0,1.0,-60.0,1.0,138130
157,86.453504,86.453504,-1.0,1.0,-1.0,1.0,-20.950602293014526,7.388704627752304,160000
158,65.192936,65.192936,0.74372786,0.7321456,0.26617026,-0.05974268,-25.78591704368592,6.139208631590009,40246
159,71.981784,71.981784,-0.053004354,0.64920235,-0.32252303,-0.9593896,-60.0,1.0,101392
160,104.517972,104.517972,1.0,-1.0,-0.32519102,-0.29307407,-57.28497862815857,8.840927243232727,32000
161,79.801926,79.801926,0.5264811,0.30784398,-0.1725683,0.9726614,-56.79769992828369,7.304076164960861,54206
162,125.378164,125.378164,-1.0,-0.26127636,0.5471107,-1.0,-46.530078053474426,6.189478863030672,62610
163,97.495832,97.495832,-0.13524482,-0.899152,1.0,1.0,-50.786428451538086,11.0,160000
164,116.360614,116.360614,-0.13585357,-1.0,0.21930039,1.0,-49.471147656440735,3.935592830181122,146690
165,117.42507,117.42507,-0.6985689,0.22522935,-1.0,0.03104222,-60.0,1.0,160000
166,100.817958,100.817958,-0.27607843,0.70755625,-0.5483444,0.17083457,-59.16183114051819,1.0,160000
167,72.481293,72.481293,1.0,-0.80605394,-1.0,-0.98950404,-52.14128375053406,5.099663719534874,99228
168,93.946256,93.946256,-0.5871635,-0.12443401,0.8496711,0.916169,-29.17813301086425,5.157600179314613,52763
169,114.991612,114.991612,0.1910464,-0.782254,-0.33544055,0.8282526,-37.12940752506256,1.0,91695
170,96.340804,96.340804,1.0,0.17819318,-0.07214372,-0.28215,-38.85101944208145,4.286880850791931,65989
171,112.216119,112.216119,0.36840922,0.9625886,-0.47026387,-0.047157,-42.04691022634506,11.0,159247
172,101.346607,101.346607,-1.0,-0.64439744,-1.0,0.947176,-22.583855390548703,10.545630812644958,84146
173,88.338513,88.338513,0.4380972,0.28600898,0.39827132,0.07258418,-30.06381154060364,8.870250046253204,38986
174,103.942848,103.942848,-0.012746876,-0.55959237,1.0,0.32630333,-23.1946873664856,7.917438358068466,117131
175,89.958336,89.958336,-0.8454142,0.8065867,0.12581484,0.49837458,-60.0,11.0,54374
176,95.425554,95.425554,0.84736323,0.46027255,-0.5796523,-1.0,-45.38969337940216,1.0,134518
177,89.803406,89.803406,-1.0,-0.63666314,-1.0,0.48251054,-20.36796808242798,7.842893660068512,106989
178,100.905236,100.905236,-0.10670161,-0.54658157,-0.075290695,0.6549728,-50.76651334762573,3.0585352182388306,145714
179,99.74071,99.74071,-1.0,-0.26010984,-0.06556708,1.0,-51.8636953830719,6.653912350535393,106518
180,117.014584,117.014584,0.22216399,-0.18272386,1.0,0.6281337,-39.71260406076908,4.450959622859955,90170
181,110.12678,110.12678,-0.3224297,-0.60835075,0.40213245,-1.0,-25.743695497512817,5.590189941227436,150299
182,106.697039,106.697039,-0.11093256,0.3653165,1.0,0.23003271,-37.07786947488785,11.0,160000
183,100.763874,100.763874,1.0,-1.0,-0.43723106,-0.036836818,-26.05587840080261,4.2697993516922,134744
184,79.405077,79.405077,0.739612,0.8295448,-1.0,1.0,-56.03062033653259,1.9646132588386536,131382
185,73.527918,73.527918,-0.1416087,-0.6263026,1.0,0.012354285,-41.74645245075226,11.0,87354
186,85.152595,85.152595,-0.5587345,0.033923194,0.08832025,-0.16583604,-41.64183989167213,1.0,142860
187,87.371647,87.371647,-0.16873457,1.0,1.0,-0.54585594,-47.237194180488586,5.96809178031981,150430
188,101.666571,101.666571,-0.5047954,0.21394674,0.33262828,1.0,-54.36573266983032,1.0,35016
189,91.42666,91.42666,0.48717734,-1.0,-0.21712638,-0.2900968,-25.91879963874817,2.8751150369644165,160000
190,92.898997,92.898997,1.0,-0.99857557,-0.54188204,-0.14248247,-60.0,6.061866459436715,32000
191,86.949855,86.949855,0.24264298,0.63365877,-0.4567204,-1.0,-42.07129150629044,6.736896470189095,155684
192,102.977319,102.977319,-0.21091641,0.16518575,-0.6441455,-0.23802271,-20.0,5.840159676969051,149557
193,78.155115,78.155115,1.0,-0.8992075,-0.7897919,0.85966974,-20.0,11.0,160000
194,132.062192,132.062192,0.09008659,0.8283668,-1.0,-0.78407586,-54.0221905708313,4.133709132671356,160000
195,96.288997,96.288997,0.98561573,1.0,0.4532366,0.86974436,-52.26113557815552,10.620508253574371,101522
196,89.266577,89.266577,0.44551986,-1.0,-1.0,-1.0,-20.3467869758606,1.0,32000
197,76.675482,76.675482,0.5316631,-0.5069277,1.0,-1.0,-60.0,5.051290825009346,87578
198,87.111229,87.111229,-0.31877387,0.6318022,0.40297595,0.042867556,-34.68535900115967,11.0,34247
199,124.784007,124.784007,-0.18927538,1.0,-0.77244693,0.66535854,-60.0,1.0,121807
200,91.620971,91.620971,0.44167358,-1.0,-0.029776188,-0.15603657,-20.0,6.340287685394287,134739
201,83.913721,83.913721,-1.0,-1.0,-1.0,-0.90934145,-20.0,2.6172629594802856,68501
202,91.740833,91.740833,-0.2595714,1.0,-0.6076376,-1.0,-60.0,11.0,32000
203,112.580012,112.580012,-0.192075,0.23831709,0.1944783,1.0,-60.0,6.3831010684371,122757
204,90.483753,90.483753,-0.27018812,0.30557272,1.0,1.0,-33.50309789180756,7.9634537398815155,139151
205,90.411668,90.411668,0.98406214,0.524469,-0.41973707,1.0,-20.0,1.0,47326
206,88.917507,88.917507,-0.38799945,-0.20324942,1.0,-1.0,-52.57608056068421,9.977433741092682,160000
207,103.626343,103.626343,1.0,1.0,1.0,0.79346967,-60.0,3.041231393814087,32000
208,79.17971,79.17971,1.0,-0.8128805,-0.8942933,0.8127451,-27.930667400360107,2.191931366920471,116042
209,122.685314,122.685314,-0.44424605,-0.03304565,0.6161601,0.46704978,-49.68786001205444,2.30826473236084,153893
210,94.03796,94.03796,-0.5950154,-0.9288335,1.0,-1.0,-20.0,3.0013904571533203,63566
211,117.847205,117.847205,-1.0,1.0,-0.88828003,-0.24538451,-40.98820462822914,1.0,94700
212,93.790301,93.790301,-0.25444365,-1.0,-0.71270555,-1.0,-20.0,10.685879945755005,32000
213,119.700754,119.700754,-1.0,-1.0,0.73346114,0.024233388,-23.358129262924194,10.7202467918396,33624
214,114.721224,114.721224,0.6781421,1.0,0.5029912,-0.22243847,-22.855924367904663,4.1726449728012085,55306
215,90.065103,90.065103,1.0,-0.04632829,0.30746442,-0.9609898,-20.0,11.0,48134
216,84.229321,84.229321,-0.011126164,-0.3998406,0.6950532,0.37366775,-20.0,9.418171107769012,88573
217,77.491886,77.491886,0.22370543,-0.5580194,-1.0,-0.38031557,-37.84908831119537,3.18834787607193,32000
218,110.777188,110.777188,1.0,0.8508254,1.0,-1.0,-53.08600664138794,4.555394262075424,158828
219,103.988273,103.988273,0.52031755,0.6755016,-0.00997724,0.8699247,-48.1907331943512,11.0,83261
220,102.124846,102.124846,0.73786736,-0.47124782,-0.08575948,-0.04404935,-40.975458920001984,8.377510219812393,32000
221,79.752133,79.752133,-0.56304204,1.0,-1.0,-1.0,-53.331146240234375,9.422177731990814,84933
222,92.250811,92.250811,0.014494748,0.5671335,0.4491125,1.0,-20.0,4.548697084188461,160000
223,98.378275,98.378275,0.5216328,1.0,1.0,-1.0,-26.5292751789093,4.462539911270142,121698
224,79.048421,79.048421,-0.98830926,1.0,1.0,-0.9998074,-20.0,6.300823543220758,159244
225,77.878802,77.878802,-1.0,-1.0,-1.0,0.95511186,-60.0,1.0,85503
226,87.812489,87.812489,-0.63947296,0.6031112,1.0,0.45369753,-20.0,5.719153605401516,32000
227,109.085982,109.085982,1.0,-0.9861301,-0.6585716,0.13931334,-24.89977240562439,6.896348804235458,160000
228,101.148146,101.148146,1.0,1.0,-0.07924488,0.15864947,-57.62989163398743,5.627417214214802,48471
229,111.704664,111.704664,0.30915427,1.0,1.0,0.47022212,-47.739856243133545,1.0,117913
230,86.235825,86.235825,0.5737939,-0.7030019,-0.6826441,-1.0,-47.04553961753845,1.0113970041275024,160000
231,81.089741,81.089741,-0.6310364,0.20883402,1.0,0.89138865,-29.664045572280884,5.649714827537537,100429
232,76.40246,76.40246,0.24402422,-0.9038453,0.6204455,-0.8897522,-38.45529243350029,11.0,32000
233,83.178582,83.178582,-0.82805675,-0.75933903,0.23660637,-1.0,-20.0,6.069464771077037,43063
234,78.983708,78.983708,-0.7441486,-0.21386352,-0.83138084,1.0,-48.81022393703461,3.336544394493103,83270
235,119.860236,119.860236,-0.753547,0.22575095,0.6497791,-0.03505005,-24.810869693756104,1.0,124755
236,117.382712,117.382712,0.2715431,1.0,1.0,-0.3879622,-43.32819283008576,11.0,116026
237,96.145777,96.145777,0.4524581,-0.27016655,-0.41126746,-0.46625805,-22.86534547805786,8.804823815822601,160000
238,79.307146,79.307146,-0.33670664,0.29317722,-1.0,0.10212844,-44.37167942523956,4.893337696790695,108490
239,74.417812,74.417812,0.8204746,-1.0,-1.0,-1.0,-24.341121912002563,1.660022497177124,41837
240,97.832934,97.832934,-1.0,0.70239043,0.09959876,-0.09648144,-58.53042960166931,10.162254631519318,77297
241,81.611225,81.611225,-1.0,0.15163577,-0.51685905,0.6124989,-28.172006607055664,9.593780994415283,33506
242,76.108294,76.108294,1.0,0.49518338,0.19443277,-1.0,-47.32848048210144,1.0,54442
243,94.980301,94.980301,0.67102796,-0.09235781,-0.9154272,1.0,-38.7147755920887,11.0,119637
244,82.95606,82.95606,0.984426,-1.0,-0.09971803,-1.0,-28.88797163963318,11.0,160000
245,105.643593,105.643593,-0.8912222,0.12054969,-0.19481601,-1.0,-40.41048552840948,10.627940952777864,157828
246,84.658806,84.658806,-0.6506555,0.319782,-1.0,0.61760294,-20.0,9.117401897907255,47367
247,82.705311,82.705311,-0.725566,1.0,-1.0,-0.064497724,-55.750638246536255,2.0964491963386536,65009
248,135.49035,135.49035,-1.0,1.0,-0.42127377,1.0,-26.296088695526123,6.041351881809533,100546
249,101.807315,101.807315,0.43350345,0.39431873,0.5003008,1.0,-46.722044348716736,7.806510537862778,160000
250,102.435245,102.435245,-0.82143295,-0.6281822,0.5853347,1.0,-28.064005374908447,10.917328655719755,136000
251,90.453658,90.453658,0.65353185,0.88294643,0.38292456,0.7112813,-40.46392034739256,7.403242349624634,160000
252,93.599174,93.599174,-0.5477548,-0.7640392,0.3716167,0.47006914,-39.10492345690727,11.0,32000
253,98.798181,98.798181,-0.1131582,-0.2304016,0.7489322,-1.0,-42.51518338918686,6.074695516377688,118741
254,81.642368,81.642368,1.0,-0.2577538,1.0,-0.5805989,-23.75814199447632,2.3186776638031006,160000
255,101.655071,101.655071,0.83402455,-1.0,0.19826694,0.8718734,-47.66284167766571,4.5421402752399445,128562
256,116.938821,116.938821,-1.0,1.0,0.11831052,0.61478055,-38.63838687539101,10.910904467105864,51173
257,71.975163,71.975163,0.87448376,-0.12034086,-1.0,1.0,-43.4224745631218,6.594930425286293,113914
258,68.882182,68.882182,-0.57072353,-0.26749343,0.7050699,0.48537588,-30.68085968494416,1.967272520065308,111859
259,79.406938,79.406938,-0.71319646,-0.46147144,0.17101803,-1.0,-21.29873871803284,2.012510657310486,108614
