step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
152046,73.69554695934973,0.9744290113449096,48.72145056724548,-0.9453623,0.06757021,-1.0,1.0,-20.0,1.0,160000
119896,73.69229569951074,0.9743652939796448,48.71826469898224,-0.97068363,-0.5412249,-0.8593349,1.0,-20.686323642730716,1.0,160000
126248,73.691222083302,0.9743442535400392,48.71721267700195,-1.0,0.1000936,-1.0,0.7637484,-20.0,1.0,109061
171492,73.68633757987587,0.9742485284805298,48.71242642402649,-0.9302211,-1.0,-0.75665325,1.0,-20.0,1.0,160000
134008,73.6858174983073,0.9742383360862732,48.71191680431366,-1.0,-1.0,-0.194682,0.45768654,-20.0,1.0,160000
144174,73.68435761963525,0.974209725856781,48.71048629283905,0.1845001,-0.97598475,-1.0,1.0,-20.0,1.0,160000
145696,73.68414776200524,0.9742056131362916,48.710280656814575,-1.0,-1.0,-1.0,1.0,-60.0,1.0,160000
171494,73.68414776200524,0.9742056131362916,48.710280656814575,-1.0,-1.0,-1.0,1.0,-42.13428616523743,1.0,160000
171496,73.68414776200524,0.9742056131362916,48.710280656814575,-0.5359012,-0.22948718,-1.0,1.0,-60.0,1.0,160000
145689,73.68414776200524,0.9742056131362916,48.710280656814575,-0.84752214,-0.7222187,-1.0,1.0,-32.542718052864075,1.0,160000
119889,73.68414776200524,0.9742056131362916,48.710280656814575,-1.0,-0.73107266,-1.0,1.0,-20.0,1.0,137999
145692,73.68414776200524,0.9742056131362916,48.710280656814575,-1.0,-1.0,-1.0,1.0,-20.0,1.0,159551
197295,73.68414776200524,0.9742056131362916,48.710280656814575,-0.26956034,-1.0,-1.0,1.0,-37.744340896606445,1.0,160000
197293,73.68414776200524,0.9742056131362916,48.710280656814575,-1.0,-1.0,-1.0,1.0,-22.216944694519043,1.0,160000
171497,73.68414776200524,0.9742056131362916,48.710280656814575,-0.21077037,-1.0,-1.0,1.0,-29.364473819732662,1.0,135686
156865,73.68400481549344,0.9742028117179872,48.71014058589935,-1.0,-1.0,-1.0,0.22210014,-50.48243761062622,1.0,160000
171490,73.68248714882627,0.974173069000244,48.70865345001221,0.290833,-0.7876637,-1.0,1.0,-20.0,1.0,160000
197290,73.67710079326974,0.9740675091743468,48.70337545871735,-1.0,-1.0,-1.0,1.0,-20.0,1.0,88824
164918,73.67670236672882,0.9740597009658812,48.70298504829407,-0.56051207,0.14756823,-0.7750384,1.0,-20.0,1.0,121681
159804,73.67572606936069,0.9740405678749084,48.70202839374542,-1.0,-0.33096063,-1.0,0.22364008,-20.0,1.0,160000
134004,73.67362748492684,0.9739994406700134,48.69997203350067,-1.0,-0.98607457,-1.0,0.29389215,-20.0,1.0,160000
146800,73.67326251353894,0.9739922881126404,48.69961440563202,-1.0,-1.0,-1.0,-0.37690377,-34.14101719856262,1.0,160000
187964,73.67297966067625,0.9739867448806764,48.69933724403381,-1.0,-1.0,-1.0,-0.4490466,-20.81089735031128,1.0,89060
131059,73.6720672318661,0.9739688634872437,48.69844317436218,-1.0,-1.0,-1.0,-0.035262346,-22.810816764831543,1.0,153324
197292,73.670002100081,0.9739283919334412,48.69641959667206,-0.05417347,-1.0,-1.0,0.87446916,-25.027660131454468,1.0,160000
126273,73.66998081005362,0.9739279747009276,48.69639873504639,-0.26172256,-1.0,-1.0,-0.75087893,-20.0,1.0,160000
124612,73.66755070429195,0.9738803505897522,48.69401752948761,-0.92458576,-0.9981145,-1.0,-0.874148,-34.03606057167053,1.0,160000
159814,73.66437240215853,0.973818063735962,48.690903186798096,-1.0,-1.0,-1.0,-0.44316816,-30.161083936691284,1.0,160000
203106,73.66435415352203,0.9738177061080932,48.69088530540466,-1.0,-1.0,-1.0,-0.7358848,-20.0,1.0,160000
124756,73.6634478044061,0.9737999439239502,48.68999719619751,-1.0,-0.9285395,-0.84265053,-0.4200039,-50.90187072753906,1.0,160000
135937,73.66317711618281,0.9737946391105652,48.68973195552826,-0.95429754,-1.0,-0.9209707,-0.682312,-29.8112952709198,1.001935958862305,160000
159338,73.66315582609657,0.9737942218780518,48.68971109390259,-1.0,-0.49935746,0.46598136,-0.7208108,-20.0,1.0,160000
131197,73.66308587295478,0.973792850971222,48.689642548561096,-1.0,-0.3615278,-0.66426575,-0.5930793,-20.0,1.0,160000
134000,73.66300983692885,0.9737913608551024,48.68956804275513,-1.0,-1.0,-0.84680825,0.35373902,-60.0,1.0,103686
134005,73.66198487107079,0.9737712740898132,48.68856370449066,-0.628169,-0.7879985,-1.0,-0.2350539,-20.0,1.0,91678
159800,73.661111976963,0.9737541675567628,48.687708377838135,-1.0,-0.7618906,-1.0,0.8063581,-60.0,1.0,149208
170454,73.66066184329551,0.973745346069336,48.6872673034668,-1.0,-0.7232383,0.78484684,-0.915529,-20.0,1.0,135565
152616,73.66010830042974,0.9737344980239868,48.68672490119934,-1.0,-1.0,-1.0,-0.54896605,-60.0,1.0,157127
116562,73.65888563937429,0.9737105369567872,48.68552684783936,-1.0,-1.0,0.07758939,-0.67673063,-20.0,1.0,123663
120702,73.65873052561503,0.9737074971199036,48.68537485599518,-0.48402375,-1.0,0.1915971,-0.22323668,-20.0,1.0,89725
159802,73.65795799811976,0.9736923575401306,48.68461787700653,-1.0,-0.7972539,-1.0,0.8446566,-24.830315113067627,1.0,160000
145690,73.65716113879654,0.9736767411231996,48.68383705615997,-1.0,-1.0,-0.0034736395,0.2968514,-20.0,1.0,129725
185616,73.6550169168212,0.9736347198486328,48.68173599243164,-1.0,-0.39583826,-1.0,0.11577308,-20.0,1.0,160000
