cluster,count,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,1116,5.567493639021714e-11,4.1756202292662855e-09,4.330775747501532,-0.1507801619203405,0.013401233313440864,0.014885772568817207,-0.009554022256487455,-39.28103167750609,4.648780295609682,74280.29659498208
1,15289,1.5862151736297752e-07,1.1896613802223313e-05,9.261809321887846,0.005955597171041271,-0.028494733680441496,-0.21516066763610503,0.4498063735044574,-36.552282779642645,6.19969579847173,127068.96232585519
2,20060,6.454220784223002e-09,4.840665588167251e-07,5.860823837189915,-0.048689019895594564,0.05265796420295164,-0.07654118753094416,-0.17533732069026803,-40.60910463148316,6.24840088985626,92889.2482552343
3,453,2.1339506876199374e-11,1.600463015714953e-09,4.29783560586034,-0.13004531269695363,-0.22674014432249381,-0.13829568435430464,-0.22794463235253862,-42.00491940559486,4.975651404372196,65325.24282560706
4,4691,1.1636108081634371e-09,8.727081061225778e-08,4.98956544749335,-0.10385981541782562,0.13159038742880408,0.14336467701359623,0.21768713781371776,-36.58225803711358,5.003879810367562,89240.5806864208
5,6442,0.0014408692293348252,0.10806519220011324,15.855139973525608,-0.16643038253974846,0.17459955352469572,-0.6536786135869203,0.4447724222422167,-30.033465825059288,4.561938941929139,132212.84554486183
6,11858,6.454416030522317e-08,4.840812022891738e-06,8.39740826556253,-0.018174456158946365,0.026897103402045035,-0.09031194752742773,0.4037560889874583,-37.57345863652554,6.002066133488261,119229.19117895092
7,19664,2.695768095644167e-06,0.00020218260717328693,11.57545012553989,-0.04219943657760445,0.005307522450518715,-0.42577660737456635,0.4716611340827441,-33.20355079675826,6.021186193646304,131191.79500610253
8,2326,1.6617295048341913e-10,1.2462971286256435e-08,4.427925670016094,-0.08627512403351978,0.10213596437589854,0.13901826752671884,0.07898248939895185,-36.92581329777795,4.5646522541937635,78104.19260533105
9,21,1.1691861103618486e-11,8.768895827713865e-10,4.288356527100149,-0.601613928904762,-0.5683686387142858,-0.31730274166666667,-0.8451155814285715,-37.061862055034865,1.3534728359608423,120934.61904761905
