dsp_parameter,mean,min,max
dsp_bitrate,148478.38152386268,44411.0,160000.0
dsp_harmonics,-0.2929562685125314,-0.99870366,1.0
dsp_jitter,-0.8193618317036842,-1.0,0.35577762
dsp_ratio,1.0556298254456495,1.0,11.0
dsp_shimmer,-0.7816062059801591,-1.0,0.6274444
dsp_threshold,-36.170768502799724,-60.0,-20.0
dsp_tilt,-0.537086220980695,-1.0,1.0
