cluster,count,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,2026,4.715284203492086e-11,3.536463152619064e-09,37.56799030198223,-0.6619863017766098,-0.6822560858290561,-0.6268733633959032,-0.6319161153717966,-38.40646715415733,1.0850958389626322,141137.33761105628
1,14783,2.075704336741021e-07,1.5567782525557656e-05,13.491024730917461,-0.6608143625666517,-0.6734377469808718,-0.5804522553889536,0.3071981621577833,-39.58403514299581,2.4584564812481906,141317.85693025772
2,17961,8.252414469833945e-09,6.189310852375459e-07,0.6198194661498811,-0.6585547660032309,-0.6699608438494211,-0.5628009457165871,-0.5321310803135985,-39.26141317471248,1.9872579641785788,141005.47001837313
3,1076,1.903619941695507e-11,1.4277149562716302e-09,59.216165384546514,-0.665246907424531,-0.6559744686948712,-0.628169738774446,-0.7704889755892194,-38.1309004118718,1.0863299604685333,143416.22583643123
4,4362,1.5508744962895013e-09,1.163155872217126e-07,9.967472928951594,-0.6695856144777375,-0.6712194858327675,-0.588102411725369,-0.08242822568429391,-38.81390744422685,1.406241945064926,140875.27922971113
5,7652,0.0038025880274323636,0.2851941020574289,71.95319692015272,-0.6537283831328524,-0.6681415762955817,-0.6567441847297883,0.3650900433302927,-35.28115441720111,1.777667279384925,141440.48065865133
6,10899,8.471759700350845e-08,6.353819775263133e-06,11.353079289182793,-0.6570644032923331,-0.667666348128419,-0.5446376635063302,0.24143661481165887,-40.32203804088333,2.1207903008448312,141168.383521424
7,19960,2.972912100978574e-06,0.00022296840757336423,13.966912395188169,-0.6619993800899339,-0.6699731672421114,-0.6341869981119074,0.3426392817141287,-36.52150189376694,2.452875246848157,141405.0380761523
8,2883,1.896049376922982e-10,1.4220370326922365e-08,19.59412246591795,-0.6707763323258645,-0.681270259367521,-0.6199802766980125,-0.3533629265228061,-38.03614075761127,1.1785393053568198,141208.5494276795
9,318,1.0841881491827635e-11,8.131411118870727e-10,196.09688320805733,-0.6391574541342622,-0.673882794009434,-0.6903065643713837,-0.8462013689308175,-40.35292255147448,1.014599341453996,145259.7893081761
