step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
246047,287,0.350341796875,98.39488983154295,0.8074473738670349,75.0,4,-0.9853418,0.2996311,-1.0,1.0,-20.0,1.0,70961,-0.22559029,-0.22868341,-1.0,1.0,1.0,-0.26841068,-0.3218044,-0.4060625,-0.41163012,-1.0,1.0,1.0,-0.48313922,-0.5792479
246626,866,1.05712890625,98.13214111328124,0.9460256099700928,75.0,4,0.075511634,1.0,-1.0,1.0,-20.0,1.2689540386199951,44059,0.36330405,1.0,-0.4024423,1.0,0.5095361,-0.11166376,-1.0,0.6539473,1.0,-0.7243961,1.0,0.9171649,-0.20099476,-1.0
251234,5474,6.68212890625,98.77503967285156,0.908686637878418,75.0,8,-1.0,1.0,-0.7755048,1.0,-27.34641671180725,1.0,87731,-1.0,1.0,-0.06707412,1.0,0.32448986,-0.7791312,-0.11286569,-1.0,1.0,-0.12073341,1.0,0.5840817,-1.0,-0.20315823
251522,5762,7.033691406250001,99.40284729003906,0.5503770709037781,75.0,2,-1.0,1.0,-1.0,1.0,-20.0,1.0,160000,-0.35038164,0.48905218,-1.0,1.0,0.44245866,-0.4944312,1.0,-0.63068694,0.8802939,-1.0,1.0,0.7964256,-0.88997614,1.0
254130,8370,10.21728515625,99.93115234375,0.9487926363945008,75.0,0,-1.0,0.54329437,-1.0,1.0,-20.0,1.0,158958,-1.0,-0.18498898,-0.9122501,0.5447115,0.71855164,-0.816167,1.0,-1.0,-0.33298016,-1.0,0.9804806,1.0,-1.0,1.0
254426,8666,10.57861328125,98.13329315185548,0.9448843598365784,75.0,4,-0.3174243,1.0,-1.0,0.870336,-42.33134746551514,1.0,44159,0.14587538,1.0,-0.6084374,0.077964425,-0.30364856,-1.0,-0.5864445,0.2625757,1.0,-1.0,0.14033596,-0.5465674,-1.0,-1.0
257803,12043,14.700927734375,99.50799560546876,0.6114018559455872,75.0,8,-1.0,1.0,-0.76030487,1.0,-30.33893644809723,1.0,160000,-0.4262231,1.0,-0.06117332,1.0,0.24594775,-0.3612113,0.7690433,-0.76720154,1.0,-0.110111974,1.0,0.44270593,-0.65018034,1.0
258344,12584,15.361328125000002,99.68924713134766,0.7328948378562927,75.0,2,-0.78763306,1.0,-1.0,1.0,-20.0,1.0,160000,-0.14868505,1.0,-0.8151032,1.0,0.86951566,-1.0,0.6060757,-0.26763308,1.0,-1.0,1.0,1.0,-1.0,1.0
258346,12586,15.363769531249998,99.80462646484376,0.9667404294013976,75.0,2,-0.7200966,0.32407522,-0.34471822,1.0,-20.0,1.0,149661,-0.1111648,-0.2088471,0.09182322,0.55351657,1.0,-1.0,0.3935869,-0.20009664,-0.37592477,0.16528179,0.9963298,1.0,-1.0,0.7084564
260910,15150,18.49365234375,98.11327362060548,0.9096643328666688,75.0,9,-1.0,1.0,-1.0,1.0,-42.990806102752686,1.0,45309,-0.8146926,1.0,-1.0,0.4394784,-0.8956281,-1.0,-0.2012347,-1.0,1.0,-1.0,0.7910611,-1.0,-1.0,-0.36222243
263184,17424,21.26953125,98.10077667236328,0.5758016109466553,75.0,1,-1.0,0.67392707,-1.0,1.0,-57.799988985061646,1.0,73777,-0.7335021,0.10218167,-0.73835707,1.0,-1.0,-1.0,-0.15401107,-1.0,0.183927,-1.0,1.0,-1.0,-1.0,-0.27721992
263190,17430,21.27685546875,98.19763946533205,0.966543436050415,75.0,1,-0.5451075,0.37471682,-1.0,1.0,-27.369192838668823,1.0,46827,0.024939978,-0.06404626,-1.0,1.0,0.28974435,-1.0,-0.38795263,0.04489196,-0.11528327,-1.0,1.0,0.5215398,-1.0,-0.6983147
273257,27497,33.565673828125,99.3924331665039,0.5446764230728149,75.0,6,-1.0,0.3692504,-1.0,1.0,-23.52840781211853,1.0,160000,-0.28221408,-0.13930535,-0.80752456,1.0,0.32421088,-1.0,1.0,-0.5079853,-0.25074962,-1.0,1.0,0.5835796,-1.0,1.0
263980,18220,22.2412109375,99.49279022216795,0.854019045829773,75.0,6,-0.86166143,0.45596033,-1.0,1.0,-55.2027952671051,1.0,137638,-0.15092303,-0.09105551,-1.0,1.0,-0.8123466,-0.59888196,0.27269635,-0.27166143,-0.16389991,-1.0,1.0,-1.0,-1.0,0.4908534
268328,22568,27.548828125000004,98.356689453125,0.9553435444831848,75.0,7,-1.0,-0.47006792,-1.0,1.0,-20.0,1.0,57752,-1.0,-0.596284,-1.0,1.0,0.4639368,-1.0,-0.3763166,-1.0,-1.0,-1.0,1.0,0.8350862,-1.0,-0.6773699
268341,22581,27.564697265625,99.83285522460938,0.8857836127281189,75.0,0,0.37561008,0.43724224,-1.0,0.92007107,-30.01464068889618,1.0,157065,0.41667822,-0.26033646,-0.7535323,0.016562462,0.1557953,-1.0,0.56888384,0.7500208,-0.4686056,-1.0,0.029812431,0.28043154,-1.0,1.0
269122,23362,28.51806640625,98.83451080322266,0.8326616287231445,75.0,8,-1.0,0.48203948,-1.0,1.0,-20.0,1.0,97129,-0.44467336,-0.16786498,-0.7468857,0.6640651,1.0,-1.0,-0.0323053,-0.800412,-0.30215696,-1.0,1.0,1.0,-1.0,-0.05814954
269294,23534,28.72802734375,98.22740173339844,0.7861096858978271,75.0,9,-1.0,0.3428082,-1.0,-0.019111633,-20.0,1.0,61956,-0.5319781,-0.36510462,-0.9277962,-1.0,1.0,-1.0,-0.04008349,-0.9575605,-0.6571883,-1.0,-1.0,1.0,-1.0,-0.07215028
270089,24329,29.698486328125,99.60993194580078,0.8058308362960815,75.0,8,-0.35264206,1.0,-1.0,1.0,-41.03754483163357,1.0,148852,0.104078665,1.0,-1.0,1.0,-0.05105275,-0.77872515,0.41434762,0.18734159,1.0,-1.0,1.0,-0.09189495,-1.0,0.7458257
273254,27494,33.56201171875,98.77690887451172,0.534445583820343,75.0,6,-1.0,1.0,-1.0,-0.25,-20.0,1.0,121820,-1.0,0.21116436,-1.0,-0.6724583,0.9257314,-1.0,0.1352464,-1.0,0.38009584,-1.0,-1.0,1.0,-1.0,0.2434435
277430,31670,38.65966796875,99.26471710205078,0.8265683054924011,75.0,0,-1.0,0.50170875,-1.0,1.0,-20.0,1.0,125132,-1.0,-0.2604363,-1.0,0.29661155,1.0,-0.117373586,0.31134808,-1.0,-0.46878532,-1.0,0.5339008,1.0,-0.21127245,0.56042653
273822,28062,34.25537109375,98.80326080322266,0.6769599914550781,75.0,8,0.20457238,0.48211926,-1.0,1.0,-44.12164032459259,1.0,108378,0.40292528,-0.17364109,-1.0,1.0,-0.14829636,-1.0,0.071160555,0.7252655,-0.31255394,-1.0,1.0,-0.26693344,-1.0,0.128089
274991,29231,35.682373046875,98.96983337402344,0.7739377617835999,75.0,6,-1.0,0.3486757,-1.0,1.0,-55.19999980926514,1.0,110470,-0.675845,-0.15073574,-0.4319139,0.15730059,-1.0,-1.0,0.036721587,-1.0,-0.2713243,-0.777445,0.28314105,-1.0,-1.0,0.066098854
274999,29239,35.692138671875,99.8789520263672,0.8859944939613342,75.0,6,0.24787301,1.0,-1.0,-0.25,-26.80386781692505,1.0,160000,0.465485,0.35228768,-0.7722986,-1.0,0.23322591,-1.0,1.0,0.837873,0.6341178,-1.0,-1.0,0.41980663,-1.0,1.0
282417,36657,44.747314453125,98.35685729980467,0.9589439034461976,75.0,6,-1.0,0.21708423,-1.0,1.0,-20.0,1.0,57522,-0.8221625,-0.22384644,-1.0,0.53146845,1.0,-1.0,-0.42289656,-1.0,-0.40292358,-1.0,0.95664316,1.0,-1.0,-0.7612138
