cluster,count,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,672,4.6721440916050925e-11,3.5041080687038192e-09,37.980805523798516,-0.7169660733445467,-0.6791982816363026,-0.5390961805828869,-0.6717106604077381,-39.40149120141065,1.160584772183072,140021.74702380953
1,3480,1.9094355395416632e-07,1.4320766546562474e-05,13.158668782766307,-0.7068582240882457,-0.6814944465048939,-0.5259196342783333,0.172924092718431,-40.925242206994334,3.0714070177797614,139842.60747126437
2,6269,5.7984669390487516e-09,4.3488502042865636e-07,0.27191505248492354,-0.694045209784497,-0.6879809898913257,-0.5058533693931042,-0.7259520134594671,-40.36180494940247,2.3321057682232076,139521.3723081831
3,364,1.889473162790119e-11,1.417104872092589e-09,59.15025129730699,-0.6936514069038462,-0.6687887758483262,-0.6088946973832418,-0.7592137423258242,-39.37495617272721,1.1273603843791145,140863.9065934066
4,1084,1.4479596496925861e-09,1.0859697372694396e-07,9.818904695459839,-0.6863786728617158,-0.6937136739090363,-0.5370976858054612,-0.18903433461300737,-39.73021336023548,1.496261415941249,138277.3782287823
5,1084,0.001705376477403354,0.12790323580525287,69.6981568092421,-0.6688260483284133,-0.6865454759601477,-0.6153522786373616,0.19881114616057194,-36.33868352224796,2.151506048506916,140054.59132841328
6,2620,7.991323769910612e-08,5.993492827432958e-06,10.864564482623503,-0.6906145517430863,-0.6828460997055308,-0.47314573844299235,0.12830250738697327,-41.99689883100338,2.6369832363974957,139530.5854961832
7,3998,2.7491743856028016e-06,0.0002061880789201833,13.683238849637592,-0.6823451895097684,-0.6756547279285594,-0.5903919112637969,0.1795170751315617,-37.339309479814375,3.0815496487340788,140916.40145072536
8,779,1.7873103999698756e-10,1.3404827999774065e-08,19.722470645886965,-0.6887264426431263,-0.6625362506708541,-0.5567622718189987,-0.4434344756815918,-38.62906855857418,1.1970643421039655,140413.33889602055
9,130,1.0953630684109082e-11,8.215223013081812e-10,192.46592569783104,-0.6731359969692308,-0.7181694295030412,-0.6492788858615384,-0.8434146972307692,-38.712688811696495,1.064012885093689,144035.03076923077
