dsp_parameter,mean,min,max
dsp_bitrate,143236.0089916506,63193.0,160000.0
dsp_harmonics,-0.17610236892402054,-0.99482083,1.0
dsp_jitter,-0.6547282196089724,-1.0,0.3328133
dsp_ratio,1.1189586521989463,1.0,11.0
dsp_shimmer,-0.6199760406036288,-1.0,1.0
dsp_threshold,-34.51987543910761,-60.0,-20.0
dsp_tilt,-0.35053355246763007,-1.0,1.0
