cluster,count,asr,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,21760,100.0,0.0018593087847737744,0.023624167051389994,18.608280430427367,-0.38721521642599493,0.8411906686925195,-0.8996472241575241,0.9035957724195125,-28.39184279185172,1.257899590945967,153204.03589154413
1,3340,100.0,0.00687750979410223,0.15718562874251496,19.075352677042613,-0.3192103318155988,0.7097581249722156,-0.8767392079119761,0.9209021719721258,-29.036799746983778,1.288008194706754,151968.09071856286
3,23550,100.0,0.0010265564813855038,0.0,17.263464446563884,-0.42357979903987003,0.7974921434352013,-0.8698486259460128,0.9538585579239516,-28.858803463412446,1.2864276051964223,111511.78607218683
4,9980,100.0,0.005331565224133597,0.1653306613226453,19.038929320719532,-0.47814221831015036,0.7146186383422596,-0.8882804815989178,0.9507421925256372,-28.339558101458874,1.2753341055973497,151865.65601202406
8,14200,100.0,0.002697082712996415,0.04753521126760563,18.5603201741232,-0.31157383397769367,0.5673819436111641,-0.8639027894442254,0.9353284694755986,-26.5798185858928,1.2761860343142295,150066.63176056338
9,9090,100.0,0.0012721042122912872,0.00825082508250825,18.146258460885228,-0.6258317664446109,0.8593810146202419,-0.6340451940016949,0.4961705905193311,-24.493634753757053,1.2376053752941136,153634.09251925192
