cluster,count,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,18800,0.001444498553342872,0.0199468085106383,10.526068315887619,-0.2264898556144468,0.8270502196647207,-0.8357268458501755,0.9420591125592287,-29.585481524079086,1.4732993063695252,125781.21106382979
1,2840,0.00596214187468505,0.1056338028169014,11.385857417065203,-0.39321084046273946,0.7030108355715352,-0.7749882406430423,0.9090516521610563,-31.265822548865223,1.3993932998306315,126341.12077464789
2,5770,0.005073243102156435,0.12998266897746968,11.832750343569785,-0.3467289846810572,0.7519471534557712,-0.7636560954298267,0.9345396538386656,-29.040279873219067,1.4198781012249158,133771.8199306759
3,20220,0.0010587156130097033,0.00890979584406649,10.822750041686099,-0.2546236595769906,0.83849961238604,-0.8431829059876651,0.9413814290317626,-30.155130462877594,1.4991054259292214,134788.67853610287
4,8460,0.004230190175161809,0.0797872340425532,11.670793762169371,-0.3819122413478381,0.764567396454669,-0.8065359021077186,0.929185465287104,-28.505949176900774,1.5613620762248692,135724.53262411346
6,3890,0.007807713688624986,0.2120822622107969,12.510298200582746,-0.394097418347892,0.7372501931664139,-0.7923701626593188,0.9232007658859126,-29.877017804045604,1.460265832687405,133673.87146529564
7,1820,0.004815468037966763,0.16483516483516483,11.095744944158122,-0.2253143156729121,0.6887528651434615,-0.8123757080315934,0.917827326282967,-28.677305666791213,1.6645832770800852,132857.51813186813
8,12310,0.002546196387048872,0.07311129163281885,10.87907030843291,-0.35178157480110234,0.7906368119337872,-0.8052311279191817,0.9481966621408773,-31.8198556902052,1.4795295563318398,132597.22380178716
9,7810,0.0013956277001355632,0.019206145966709345,10.34695571474415,-0.5802375997104606,0.8498631196629882,-0.8675974580176631,0.95145033018675,-24.648239270444105,1.3616415135915392,101358.67631241998
