dsp_parameter,mean,min,max
dsp_bitrate,151942.33400707427,45045.0,160000.0
dsp_harmonics,-0.004007146722449237,-0.99610466,1.0
dsp_jitter,-0.8466990505579081,-1.0,0.3946885
dsp_ratio,1.0145587738473467,1.0,8.383413910865784
dsp_shimmer,-0.7764683481153866,-1.0,0.6740106
dsp_threshold,-33.80418418467557,-60.0,-20.0
dsp_tilt,-0.6275394378626479,-1.0,1.0
