dsp_parameter,mean,min,max
dsp_bitrate,145073.7618647627,63045.0,160000.0
dsp_harmonics,-0.03802966260806385,-0.9946607,1.0
dsp_jitter,-0.7024957140796304,-1.0,0.52253526
dsp_ratio,1.078191747595562,1.0,11.0
dsp_shimmer,-0.642698524792541,-1.0,0.815499
dsp_threshold,-31.518861219750036,-60.0,-20.0
dsp_tilt,-0.5510247000600589,-1.0,1.0
