cluster,count,asr,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,4,0.02127659574468085,0.7448306381702423,73.01033899248303,97.66039657592773,-0.364443444,0.8408855225,-0.991401435,0.6676963975,-20.758435428142548,1.0,160000.0
1,6,0.21126760563380279,0.828701118628184,75.0,99.53018061319987,-0.6090067053333333,0.47734958166666663,-0.8413297433333332,0.8327147414333332,-42.167205810546875,1.0,142482.66666666666
2,24,0.41594454072790293,0.8228502596418062,75.0,99.22211647033691,-0.28785729600416665,0.4179957804166667,-0.8977677293333333,0.7386670932916667,-30.716804216305416,1.0,124739.41666666667
3,3,0.014836795252225518,0.9255366722742716,72.13997373434712,95.78025563557942,-0.8164916866666667,0.7772446166666667,-1.0,1.0,-30.660931666692097,1.0,78031.33333333333
4,12,0.14184397163120568,0.8010361045598984,75.0,98.76150131225586,-0.26560271891666665,0.618570215,-1.0,0.8251045670833334,-23.628295361995697,1.0,96350.5
6,23,0.5912596401028277,0.836042803266774,75.0,99.02251467497453,-0.5617755607826087,0.4752947235217391,-0.8228463039130436,0.9015393760869566,-33.113654184600584,1.0,110307.65217391304
7,12,0.6593406593406593,0.8358759184678396,75.0,99.37075869242351,-0.6841995816666667,0.21113419283333332,-0.9855547416666667,0.746306255,-34.07896811763445,1.036589354276657,132776.0
8,4,0.03249390739236393,0.7718572467565536,75.0,99.30039978027344,-0.7782122325,0.87710225,-1.0,0.45748901399999997,-23.17154750227928,1.0,135013.5
9,2,0.02560819462227913,0.7581003904342651,75.0,98.72748184204102,-0.459567368,0.50021379,-1.0,1.0,-36.877577900886536,1.1066121459007263,98448.5
