step,reward,score,bonus
62230,268.6172737718419,0.9745721220970154,243.64303052425385
63561,268.5364322968548,0.974250078201294,243.5625195503235
41220,268.53538493296026,0.9742459058761596,243.56147646903992
65652,268.5257791089578,0.974207639694214,243.55190992355347
19312,268.52209837224893,0.9741929769515992,243.54824423789975
81697,268.504861748549,0.974124312400818,243.53107810020447
57351,268.4981286910667,0.974097490310669,243.52437257766724
70918,268.4925028469001,0.9740750789642334,243.51876974105835
53735,268.4909168375447,0.9740687608718872,243.5171902179718
72843,268.4893308281473,0.974062442779541,243.51561069488525
30098,268.4888669952024,0.974060595035553,243.51514875888824
60370,268.47314156000425,0.973997950553894,243.4994876384735
26494,268.46684240735163,0.9739728569984436,243.4932142496109
57360,268.4608425012387,0.9739489555358888,243.48723888397217
80025,268.45636875539094,0.9739311337471008,243.4827834367752
41155,268.4434861609622,0.9738798141479492,243.4699535369873
57620,268.4404637632609,0.9738677740097046,243.46694350242612
37360,268.4342543813652,0.9738430380821228,243.4607595205307
67972,268.4324888220578,0.9738360047340392,243.45900118350983
60606,268.43195017683496,0.9738338589668274,243.45846474170685
31009,268.43172574132404,0.9738329648971558,243.4582412242889
19313,268.43136664450475,0.9738315343856812,243.4578835964203
79395,268.430424015344,0.9738277792930604,243.45694482326508
66758,268.4279252998774,0.9738178253173828,243.4544563293457
81746,268.4274165793505,0.9738157987594604,243.4539496898651
72699,268.4258305682681,0.9738094806671144,243.45237016677856
56936,268.422254561994,0.9737952351570128,243.44880878925323
72372,268.4206386260342,0.9737887978553772,243.4471994638443
56804,268.41827457149583,0.9737793803215028,243.44484508037567
20772,268.4180202111918,0.9737783670425416,243.44459176063535
81692,268.4171972807891,0.9737750887870787,243.4437721967697
31056,268.41620976429084,0.9737711548805236,243.4427887201309
61097,268.41609006532025,0.9737706780433656,243.44266951084137
63159,268.4158057802641,0.9737695455551147,243.4423863887787
40908,268.41535690912013,0.9737677574157716,243.44193935394287
78025,268.4130078167449,0.9737583994865416,243.43959987163544
74953,268.4121848862731,0.9737551212310792,243.43878030776975
15570,268.40940188495733,0.9737440347671508,243.4360086917877
42073,268.4064692597746,0.9737323522567748,243.43308806419373
22966,268.4063944479058,0.973732054233551,243.43301355838776
74324,268.40406031755253,0.973722755908966,243.43068897724152
61093,268.4029830265895,0.9737184643745422,243.4296160936356
18334,268.4028483652178,0.9737179279327391,243.4294819831848
81831,268.4012324287331,0.9737114906311036,243.42787265777588
33972,268.39906288431007,0.9737028479576112,243.4257119894028
20681,268.39699807644115,0.973694622516632,243.423655629158
68104,268.39633973188825,0.973691999912262,243.4229999780655
44331,268.3959207853508,0.9736903309822084,243.4225827455521
60364,268.3956963497045,0.9736894369125366,243.42235922813416
59664,268.38924756510806,0.9736637473106384,243.4159368276596
41218,268.38537230906445,0.9736483097076416,243.4120774269104
48524,268.3803150247376,0.9736281633377076,243.40704083442688
35295,268.37714300003,0.9736155271530152,243.40388178825376
53737,268.37251962409323,0.9735971093177797,243.39927732944489
57353,268.37229518835903,0.973596215248108,243.39905381202695
70925,268.3672977524592,0.9735763072967528,243.39407682418823
56810,268.3670733167054,0.9735754132270812,243.39385330677032
13490,268.3658015140845,0.9735703468322754,243.39258670806885
41067,268.3646045233578,0.9735655784606934,243.3913946151733
70927,268.3634673821452,0.9735610485076904,243.3902621269226
71436,268.3596669363564,0.9735459089279176,243.38647723197937
56805,268.35359220754617,0.9735217094421388,243.38042736053467
52230,268.34946258859327,0.9735052585601808,243.3763146400452
68757,268.3477568763338,0.9734984636306764,243.37461590766907
11677,268.347218230347,0.9734963178634644,243.3740794658661
11186,268.34681424585364,0.9734947085380554,243.37367713451383
32488,268.3379116239188,0.973459243774414,243.36481094360352
70516,268.3307446382371,0.9734306931495668,243.3576732873917
67273,268.32884441433174,0.9734231233596802,243.35578083992004
48462,268.32841050492755,0.9734213948249816,243.35534870624545
13723,268.32782697158586,0.9734190702438354,243.3547675609589
70730,268.32773719722513,0.9734187126159668,243.3546781539917
36774,268.3240265235289,0.9734039306640624,243.3509826660156
26427,268.3233981029608,0.973401427268982,243.35035681724548
67166,268.3226350208334,0.9733983874320984,243.3495968580246
76522,268.31421119199496,0.9733648300170898,243.3412075042725
62843,268.3116376596794,0.9733545780181884,243.33864450454712
47386,268.3097823223598,0.9733471870422364,243.33679676055908
53779,268.3055928507809,0.9733304977416992,243.3326244354248
63920,268.3035579644794,0.9733223915100098,243.33059787750244
26426,268.2939969904135,0.9732843041419984,243.3210760354996
