cluster,count,asr,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,11,0.05432098765432099,0.772984271699732,73.63181202818622,98.12787489457564,-0.45840944272727274,0.5377907727272727,-0.9645763681818181,0.9442932663636363,-33.98527687246149,1.0,146758.18181818182
1,11,0.35947712418300654,0.8098913051865317,75.0,99.50245319713245,-0.4594891272727273,0.42991387818181814,-0.9590559481818182,0.5069547254545455,-20.81941073591059,1.0,144082.0
2,8,0.12882447665056362,0.8256431221961975,75.0,99.40246868133545,-0.40362564300000003,0.687554780625,-0.92801034125,0.9267823175000001,-21.091587245464325,1.0,135158.25
3,2,0.009182736455463728,0.8608494102954865,71.55477299336042,95.66345596313477,-0.27264699000000003,0.7836117,-1.0,1.0,-36.99172556400299,1.0,112595.5
4,13,0.1434878587196468,0.7762140035629272,75.0,99.59615149864784,-0.7980768122307692,0.7666855761538461,-0.9676206661538462,0.7808745523076923,-29.722422728171715,1.0,152115.61538461538
8,8,0.060836501901140684,0.8104055598378181,75.0,99.55458450317383,-0.7530543775,0.5411642274999999,-1.0,0.8100909345,-23.700035214424133,1.0,147604.125
9,1,0.011890606420927468,0.8292425274848938,75.0,99.81275939941406,-0.27421397,0.318119,-1.0,1.0,-20.97464799880981,1.0,160000.0
