dsp_parameter,mean,min,max
dsp_bitrate,146443.66228070174,65428.0,160000.0
dsp_harmonics,-0.43645706604438045,-0.9959785,1.0
dsp_jitter,-0.7964180806844106,-1.0,0.365214
dsp_ratio,1.0892732127389886,1.0,11.0
dsp_shimmer,-0.7808875925760251,-1.0,0.6854733
dsp_threshold,-38.60986038739691,-60.0,-20.0
dsp_tilt,-0.5266613798255017,-1.0,1.0
