step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
461901,52301,63.84399414062501,99.69303131103516,0.7356710433959961,75.0,8,-0.19467637,0.54050606,-1.0,0.84000003,-20.0,1.0,160000,0.11406869,-0.07749665,-1.0,1.0,1.0,-1.0,0.63188875,0.20532364,-0.13949396,-1.0,1.0,1.0,-1.0,1.0
466324,56724,69.2431640625,99.94676971435548,0.9481602311134338,75.0,8,-1.0,0.5079909,-0.97187585,0.79033935,-20.0,1.0,160000,-0.5770971,-0.08794099,0.008591056,0.5153646,1.0,-1.0,1.0,-1.0,-0.15829378,0.0154639,0.92765623,1.0,-1.0,1.0
466327,56727,69.246826171875,99.48870849609376,0.5997195839881897,75.0,8,0.32008192,1.0,-1.0,0.86268306,-40.33730387687683,1.0,160000,0.38685772,1.0,-1.0,1.0,-0.43597507,-1.0,0.44601077,0.6963439,1.0,-1.0,1.0,-0.7847551,-1.0,0.8028194
491487,81887,99.959716796875,99.80238342285156,0.8373438715934753,75.0,4,0.19506344,-0.7708231,-1.0,1.0,-45.688194036483765,1.0,158714,0.04990592,-1.0,-1.0,0.8854489,-1.0,-1.0,0.06427196,0.08983065,-1.0,-1.0,1.0,-1.0,-1.0,0.115689516
439800,30200,36.865234375,97.93879699707033,0.6069604754447937,73.43808773900459,0,-0.21718828,1.0,-1.0,0.04657094,-20.0,1.0,160000,-0.10885191,0.92468745,-1.0,-0.08630061,0.433715,-1.0,1.0,-0.19593343,1.0,-1.0,-0.1553411,0.780687,-1.0,1.0
448265,38665,47.198486328125,92.90940856933594,0.8216655850410461,69.9090639140415,3,-0.19350082,1.0,-0.9902493,1.0,-20.0,1.0,44593,0.1687826,0.78790295,-0.1646133,1.0,0.5547012,-1.0,-0.61074793,0.3038087,1.0,-0.29630396,1.0,0.99846214,-1.0,-1.0
411565,1965,2.398681640625,91.23177337646484,0.7634621858596802,68.28884936509647,3,-1.0,1.0,-1.0,1.0,-26.08881950378418,1.0,45620,-0.85517734,1.0,-0.893621,1.0,0.20191008,-1.0,-0.52323616,-1.0,1.0,-1.0,1.0,0.36343813,-1.0,-0.94182503
454997,45397,55.416259765625,90.16616821289062,0.728303074836731,67.32534694478358,3,-0.5271982,1.0,-1.0,1.0,-44.940481781959534,1.0,42103,-0.0014965832,0.87025374,-1.0,1.0,-0.3226745,-0.456437,-0.8221053,-0.0026938496,1.0,-1.0,1.0,-0.5808141,-0.82158655,-1.0
424247,14647,17.879638671875,90.92098236083984,0.5714285969734192,66.4805945072849,0,-0.84134394,1.0,-1.0,1.0,-20.0,1.0,160000,-0.49201328,1.0,-0.7721815,0.5637256,0.2946093,-1.0,1.0,-0.8856239,1.0,-1.0,1.0,0.53029674,-1.0,1.0
453887,44287,54.061279296875,90.56046295166016,0.67726069688797,65.95016000490773,3,-1.0,0.6525286,-1.0,1.0,-20.0,1.0,160000,-0.75552446,0.08219588,-0.20133275,1.0,1.0,-0.9623708,0.4781736,-1.0,0.14795257,-0.36239892,1.0,1.0,-1.0,0.86071247
426387,16787,20.491943359375,87.46027374267578,0.6503084301948547,64.72682941298484,3,-1.0,0.38595432,-1.0,1.0,-53.26744318008423,1.0,42480,-0.45136604,-0.06808579,-1.0,1.0,-1.0,-0.14754772,-0.9878715,-0.8124589,-0.12255442,-1.0,1.0,-1.0,-0.2655859,-1.0
