step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
45112,73.69510899756263,0.974420428276062,48.7210214138031,-1.0,-0.627147,0.22936228,-0.10423362,-31.125710010528564,1.0,160000
44138,73.68925125120083,0.9743056297302246,48.71528148651123,-0.24299467,-1.0,0.17155626,0.060958028,-44.873313903808594,1.0,160000
31010,73.68723175494844,0.9742660522460938,48.71330261230469,-0.6936028,-0.41837883,-0.84031725,1.0,-20.0,1.0,160000
26933,73.6840899751185,0.9742044806480408,48.71022403240204,-1.0,-0.40326482,-0.32319304,-0.41664654,-20.0,1.0,143446
60647,73.68402306398477,0.9742031693458556,48.71015846729279,-0.95849955,-1.0,0.8371449,-0.9313662,-60.0,1.0,160000
15568,73.68060451092373,0.9741361737251282,48.70680868625641,-0.56350464,0.36286634,-0.7229636,0.92276525,-22.58989453315735,1.0,160000
74569,73.67789764615884,0.974083125591278,48.704156279563904,-1.0,-0.1711449,-1.0,-0.33472276,-21.519194841384888,1.0,160000
28421,73.67467069451318,0.9740198850631714,48.70099425315857,-1.0,0.09577598,-1.0,0.060570512,-51.12349510192871,1.0,89062
45124,73.67425097758972,0.9740116596221924,48.70058298110962,-0.28484443,-0.53453654,-1.0,-0.34698302,-28.9941668510437,1.0,160000
79533,73.67328076210961,0.973992645740509,48.69963228702545,-0.592721,-1.0,-0.10062513,-0.41519982,-20.0,1.0,160000
52733,73.67298574353384,0.9739868640899658,48.69934320449829,-0.3872627,-1.0,-0.820339,-0.32193148,-60.0,1.0,144395
34564,73.67279413351214,0.973983108997345,48.69915544986725,-1.0,-0.9976493,0.9281446,-0.4641813,-24.813385009765625,1.0,160000
45113,73.6718391246109,0.9739643931388856,48.69821965694428,-0.16677348,-0.6119506,-1.0,0.2361572,-20.0,1.0,123891
67978,73.67160797590414,0.9739598631858826,48.69799315929413,-1.0,-1.0,-1.0,0.24545607,-20.0,1.0,160000
33863,73.66950634653831,0.9739186763763428,48.69593381881714,-0.9707141,-1.0,0.12627175,-0.7930584,-45.81048667430878,1.0,160000
66759,73.66870340807401,0.973902940750122,48.6951470375061,-0.50505567,-0.33198106,-1.0,-0.08455521,-44.04078722000122,1.0,160000
31646,73.66852092202299,0.9738993644714355,48.69496822357178,-1.0,-1.0,-1.0,-0.5345113,-48.16479325294495,1.0,160000
57446,73.6656528478163,0.9738431572914124,48.69215786457062,-0.006707132,-0.858552,1.0,-0.5234018,-20.19641399383545,1.0,160000
74066,73.66543994715913,0.973838984966278,48.691949248313904,-1.0,-1.0,-0.777086,-0.5362066,-39.1160774230957,1.0,141698
62304,73.66423857882106,0.9738154411315918,48.69077205657959,-0.52860224,-0.9948471,-1.0,-0.4901523,-52.68800973892212,1.0,160000
65624,73.66322882067719,0.9737956523895264,48.68978261947632,-0.6858201,-1.0,-0.8458688,-0.5989802,-28.84547472000122,1.0,106542
67169,73.66295813242988,0.9737903475761414,48.68951737880707,-1.0,-1.0,-0.9668408,-0.5921997,-25.111912488937374,1.0,146493
74564,73.66288513784126,0.9737889170646667,48.68944585323334,-1.0,-1.0,-0.1313533,-0.29288262,-58.747419118881226,1.0,115737
70914,73.66276956307152,0.9737866520881652,48.68933260440826,-1.0,-0.07335132,0.92556334,-0.10416138,-43.00361216068268,1.0,160000
68785,73.66275739730597,0.9737864136695862,48.68932068347931,-0.34754324,-1.0,-0.6879395,-0.96234655,-60.0,1.0,160000
15534,73.66267527838694,0.9737848043441772,48.68924021720886,0.05117473,0.022659795,-0.73816085,-0.7106152,-28.639966249465942,1.0,133308
40903,73.6623863414279,0.9737791419029236,48.68895709514618,0.09159848,-1.0,0.33044687,-0.44137365,-20.0,1.0,117924
77813,73.66090515880164,0.973750114440918,48.6875057220459,-0.39327264,-1.0,0.010453641,-0.7747201,-41.1528754234314,1.0,160000
62118,73.65998360119559,0.973732054233551,48.68660271167755,-1.0,-0.2836067,-0.25067708,-0.4434213,-25.810946226119995,1.0,160000
25927,73.65935402203922,0.9737197160720824,48.685985803604126,-1.0,-0.2406371,0.9851025,-0.7878407,-20.0,1.0,155052
32123,73.6593023174637,0.9737187027931212,48.68593513965607,-1.0,-0.4513758,-1.0,-0.37389132,-45.11327862739563,1.0,90438
59013,73.6588400176814,0.9737096428871156,48.685482144355774,-0.7046993,-0.5638041,1.0,-0.7017294,-20.07380247116089,1.0,160000
57112,73.65840204938674,0.9737010598182678,48.68505299091339,-1.0,-0.34019464,-1.0,-0.7374885,-47.87422180175781,1.0,160000
39576,73.65739837175173,0.973681390285492,48.6840695142746,-1.0,-0.18034297,0.8885469,-0.78046936,-29.880268573760983,1.0,160000
5205,73.65634907196969,0.9736608266830444,48.68304133415222,0.049669944,0.013352665,1.0,-0.24697241,-41.622377187013626,1.0,113950
31002,73.65564649708371,0.9736470580101012,48.682352900505066,-0.6161986,-1.0,-1.0,0.55084026,-30.176515579223636,1.0,160000
76505,73.65509295309332,0.9736362099647522,48.68181049823761,-1.0,0.11219525,-1.0,-0.7586163,-40.922348499298096,1.0,147965
25242,73.65470060590405,0.9736285209655762,48.68142604827881,-1.0,-0.86421406,-0.32983223,-0.7801585,-59.2309319972992,1.0,133044
34567,73.65467627429337,0.973628044128418,48.6814022064209,-0.12887295,-1.0,-1.0,-0.451511,-58.73699903488159,1.0,147184
81684,73.65425655397121,0.973619818687439,48.68099093437195,0.0323039,-0.60553414,0.29519582,-0.6867489,-40.59158205986023,1.0,155225
45119,73.65425047106746,0.9736196994781494,48.68098497390747,-1.0,-1.0,0.8250383,0.048716098,-21.23758196830749,1.0,121046
31008,73.65358743446946,0.9736067056655884,48.68033528327942,-0.4764318,0.21621458,-0.66918045,1.0,-46.410863399505615,1.0,137576
46577,73.65356918575324,0.9736063480377196,48.68031740188599,0.027660698,-0.5327293,-0.09174505,-0.59282947,-36.77164375782013,1.0,160000
56804,73.65340190584821,0.9736030697822572,48.68015348911285,-1.0,-1.0,-1.0,0.36024502,-47.49807298183441,1.0,124075
42628,73.65337453277176,0.973602533340454,48.68012666702271,-0.6136427,-0.29003584,-0.9896492,-0.21899202,-31.08156383037567,1.0,90991
