step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
98867,81.93837161163731,0.507972002029419,57.6157005567065,-1.0,-1.0,-0.9703168,0.007756889,-26.653753519058228,1.0,160000,37427.0,45.687255859375
127807,81.92855195210227,0.507817268371582,57.60618555417708,-1.0,-1.0,-1.0,-0.31615698,-35.91567933559418,1.0,110475,66367.0,81.014404296875
111206,81.925445467078,0.5077683329582214,57.60317543801279,-0.3645782,-1.0,-1.0,0.5165899,-44.48351323604584,1.0,107858,49766.0,60.74951171875001
104720,81.92169133915768,0.5077092051506042,57.599537763298656,-0.5494707,-0.31258887,-0.07832438,0.31861103,-20.0,1.0,160000,43280.0,52.83203125
130694,81.91781918843154,0.507648229598999,57.595785719146754,-1.0,-0.4962225,-0.9720496,1.0,-57.36096262931824,1.0,160000,69254.0,84.53857421875
68044,81.8967008948289,0.5073158740997314,57.57532233641098,-1.0,-1.0,-1.0,0.05723113,-45.87855279445648,1.0,160000,6604.0,8.0615234375
140058,81.88687681046238,0.5071613788604736,57.5658028330288,-1.0,-1.0,-0.04442334,-0.8284074,-23.70067358016968,1.0,160000,78618.0,95.96923828125
62571,81.86416752530815,0.5068045258522034,57.543797423657054,-1.0,-1.0,-0.86487335,-0.57671314,-39.19099807739258,1.1335489749908447,160000,1131.0,1.380615234375
80482,81.8623875226011,0.5067765712738037,57.54207258097309,-0.68039346,-1.0,-1.0,0.4382822,-26.712090969085693,1.0,160000,19042.0,23.24462890625
69640,81.86018603106645,0.506742000579834,57.539939308600616,-1.0,-1.0,-1.0,-0.45066547,-20.0,1.0,123143,8200.0,10.009765625
64748,81.84543767578944,0.5065104961395264,57.52564790644166,-0.842794,-1.0,-0.32416904,-0.48110658,-41.74895942211151,1.0,160000,3308.0,4.0380859375
135742,81.82799132973,0.5062368512153625,57.50874196156125,-1.0,-1.0,-1.0,-0.20054686,-37.981499433517456,1.0,160000,74302.0,90.70068359375
136706,81.82351625688169,0.5061666965484619,57.504405479035015,-1.0,-1.0,-1.0,-0.50790274,-56.57285451889038,1.0,160000,75266.0,91.87744140625
134693,81.80551890849323,0.5058847069740295,57.48696539400332,-1.0,-1.0,-0.47396737,-0.08295643,-28.87434959411621,1.0,151129,73253.0,89.420166015625
113297,81.80234847280548,0.5058350563049316,57.4838931093468,-0.58362365,-1.0,-1.0,-0.84481895,-23.909595012664795,1.0,160000,51857.0,63.302001953125
137097,81.74569893613038,0.504949152469635,57.428996477105095,-0.75206465,-1.0,-1.0,0.746724,-31.36569917201996,1.0,160000,75657.0,92.354736328125
135636,81.74089715164641,0.5048741698265076,57.42434319908055,-1.0,-1.0,-0.9069424,0.28258026,-60.0,1.0,160000,74196.0,90.5712890625
109207,81.73659828590557,0.5048070549964905,57.42017727595235,-1.0,-0.05689466,-0.9357575,1.0,-24.195650815963745,1.0,60722,47767.0,58.309326171875
104396,81.72391803423042,0.5046091675758362,57.407889107182896,-1.0,-0.62826896,0.29737437,-0.59512365,-20.0,1.0,160000,42956.0,52.43652343750001
