dsp_parameter,mean,min,max
dsp_bitrate,150296.4857445962,44411.0,160000.0
dsp_harmonics,-0.14129725458266196,-0.99870366,1.0
dsp_jitter,-0.833710155828471,-1.0,0.3946885
dsp_ratio,1.0340731058824506,1.0,11.0
dsp_shimmer,-0.778909528957381,-1.0,0.6740106
dsp_threshold,-34.92863341048631,-60.0,-20.0
dsp_tilt,-0.5845618651152619,-1.0,1.0
