step,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1,5.682716932991331,3.0795330729915804e-09,2.3096498047436853e-07,2,0.6736771,1.0,-1.0,-0.97230417,-20.0,11.0,58868
2,8.667579189183783,7.970810855795207e-08,5.9781081418464055e-06,1,0.8352702,-0.16819383,-0.67476416,-0.14271139,-55.092254877090454,10.17693942785263,160000
3,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,-0.6403863,-0.7323654,0.18506351,-1.0,-20.0,4.264445215463638,58500
4,9.591252465585644,2.0226349306540214e-07,1.516976197990516e-05,1,-0.28096908,-0.5584544,-1.0,-0.46146518,-31.9774729013443,11.0,151888
5,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,-0.020260656,1.0,-0.4963391,-1.0,-57.19317078590393,11.0,43815
6,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,-0.44241124,-1.0,0.45319578,-1.0,-20.0,8.137482911348343,44994
7,7.225798013298709,1.808805016878523e-08,1.3566037626588923e-06,2,0.30888852,0.9741847,0.035987433,0.49960303,-50.05209803581238,10.837178587913513,83463
8,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,1.0,-1.0,0.42146122,-1.0,-60.0,10.583691656589508,99521
9,9.036139334695894,1.1567549051960668e-07,8.675661788970501e-06,1,-0.5676372,1.0,0.09508601,1.0,-60.0,1.0,88361
10,9.558511846718305,1.95716381767852e-07,1.46787286325889e-05,1,0.5181628,0.047557227,-0.8848527,-0.25070462,-20.619633197784424,1.3061217069625854,99127
11,7.8803337090615315,3.573011042590224e-08,2.679758281942668e-06,6,1.0,-0.4578809,-1.0,-0.835682,-43.5260996222496,6.114681134000421,48487
12,8.261342174212132,5.2763997615556946e-08,3.957299821166771e-06,6,1.0,-0.45547715,-0.816405,0.16515511,-28.33486318588257,5.069524183869362,33532
13,8.977699224308267,1.0905242930903114e-07,8.178932198177336e-06,1,-0.18226258,-0.19140628,-0.5304052,0.2642331,-32.55148470401764,11.0,70312
14,8.00049362608409,4.04196924819189e-08,3.0314769361439176e-06,6,-0.54772115,-0.61890143,-0.0033053057,0.5693094,-28.37178111076355,8.090891003608704,122602
15,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,1.0,-1.0,0.24410883,-1.0,-47.770323157310486,11.0,119185
16,8.553053165855683,7.097462884075867e-08,5.3230971630569e-06,6,-0.40550482,0.21177523,1.0,-0.45362762,-45.64292788505554,1.0311639904975891,160000
17,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-0.06175103,1.0,-0.91669863,-60.0,11.0,32000
18,4.969310920115991,9.988593285825687e-10,7.491444964369265e-08,4,0.20190519,-0.87807804,-0.49870542,-0.7736219,-20.0,10.68483418226242,64735
19,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,0.36870924,-1.0,-0.44749194,-0.70580727,-40.84601655602455,3.8615687787532806,32000
20,9.341201348050898,1.5729420965726604e-07,1.1797065724294953e-05,1,-1.0,-1.0,0.24398932,0.88843757,-20.0,1.2609753608703613,121436
21,5.060741484143808,1.1902314689393734e-09,8.9267360170453e-08,4,0.6598777,0.7918906,-0.6436289,-0.75342584,-57.67893433570862,1.0,135168
22,9.543726670045492,1.92829332945621e-07,1.4462199970921574e-05,1,0.19006999,1.0,0.19039415,0.6997365,-59.49808359146118,4.947639241814613,132975
23,8.622062754748864,7.611693320086488e-08,5.708769990064866e-06,6,-0.9729321,0.12645407,-0.18783274,-0.3105422,-55.78747272491455,2.882767975330353,160000
24,13.783075434681022,1.3430178114504088e-05,0.0010072633585878066,7,-0.8824249,-0.83290994,-0.37104806,0.28687477,-29.316569566726685,9.554125130176544,80053
25,8.496539457619704,6.701989718749246e-08,5.0264922890619346e-06,6,1.0,0.015116477,-0.046434417,-0.67824125,-31.906618475914,1.048665702342987,74828
26,11.03762265562571,8.623531471130264e-07,6.467648603347698e-05,7,-1.0,0.28470704,0.38255864,0.45587295,-60.0,8.55901575088501,160000
27,4.304733575462733,2.839507795560081e-11,2.129630846670061e-09,0,-0.6866162,-1.0,0.79937935,-0.68815225,-32.6883202791214,1.0,99245
28,5.3047703681488505,1.7955701370198085e-09,1.3466776027648564e-07,2,-0.6167384,0.07171726,0.33515924,1.0,-34.04668748378754,10.353704750537872,32000
29,9.636484751952098,2.1166852093301713e-07,1.5875139069976285e-05,1,1.0,0.23166358,-0.2993844,0.24968196,-60.0,6.567731894552708,87704
