step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1,8.245546442424494,5.192149998833884e-08,2.596074999416942e-06,-0.012693514,-0.028231407,-0.1891242,1.0,-35.95294117927551,11.0,160000
2,7.140776386613641,1.6532238689137557e-08,8.266119344568779e-07,-0.027734017,-0.23239607,0.28018928,-0.37063763,-60.0,9.2657590508461,146169
3,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.1475765,0.21161,-0.7059717,-1.0,-46.446101665496826,3.8824831545352936,62007
4,8.319975654046736,5.601068409077925e-08,2.8005342045389625e-06,-0.1248086,-0.3009864,1.0,1.0,-22.467232942581177,9.615345060825348,160000
5,7.33877133267648,2.037102753149611e-08,1.0185513765748055e-06,-1.0,0.5140482,-0.4888736,1.0,-25.381717681884766,11.0,32954
6,4.345593358282806,7.128535262079794e-11,3.564267631039897e-09,-0.40353036,0.8767385,1.0,1.0,-39.95494097471237,11.0,75280
7,7.750815874380507,3.126813297171793e-08,1.5634066485858966e-06,-1.0,-1.0,-0.0006714887,0.5931981,-47.7273428440094,3.728530615568161,160000
8,6.0307440807224495,4.777723106030862e-09,2.388861553015431e-07,-0.7503233,-1.0,1.0,0.93532157,-44.08676624298096,11.0,160000
9,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.13614734,0.35818568,-0.17139745,-0.557004,-36.367767453193665,11.0,32000
10,8.9072199123569,1.0156335150668383e-07,5.0781675753341915e-06,-1.0,0.89190245,0.050797474,-0.11778986,-37.665525674819946,1.681646466255188,72639
11,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,0.6018225,0.35392514,-0.5770355,-1.0,-34.66261863708496,1.0,32000
12,4.294518573576771,1.794349391293082e-11,8.97174695646541e-10,-0.8974457,-0.41843683,-0.042270184,-0.82512665,-29.63162899017334,9.322190642356873,32000
13,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,0.060707826,-1.0,0.3441778,-1.0,-31.415752172470093,7.485016494989395,160000
14,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,0.49973673,-0.8124154,-0.5147081,-1.0,-44.67219799757004,9.67252379655838,101719
