step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1,8.744663558260935,8.61756532799518e-08,4.30878266399759e-06,1.0,-0.22500905,0.4774482,1.0,-24.47108745574951,6.718472898006439,32000
2,8.669756688639946,7.98842023641555e-08,3.994210118207775e-06,0.19168958,-0.123480976,-1.0,-0.7772831,-26.182223558425903,11.0,46166
3,9.05160971238618,1.1749487072165721e-07,5.87474353608286e-06,0.3372373,-0.09475758,0.97770095,1.0,-35.4275906085968,4.669020980596542,138559
4,4.829159328797252,7.374614807709179e-10,3.6873074038545894e-08,-0.31320527,-0.78245926,0.20544685,1.0,-60.0,1.0,32000
5,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.42316028,-1.0,0.9441067,-1.0,-43.209810853004456,8.862153947353363,98830
6,5.875143451514987,3.94515886625868e-09,1.97257943312934e-07,0.29795814,0.1670338,0.24229603,-0.98567677,-38.94240811467171,4.477204889059067,160000
7,8.748517533920968,8.651227290101815e-08,4.3256136450509075e-06,-1.0,-0.7862542,-0.042377353,-0.4658717,-46.99377357959747,11.0,116971
8,6.287945958115988,6.472364422194232e-09,3.236182211097116e-07,1.0,-0.23825276,0.68924326,-0.37821338,-60.0,5.075866863131523,80950
9,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.15250187,1.0,-1.0,0.84832436,-39.10175450146198,11.0,32000
10,4.889420951429438,8.45382819303353e-10,4.226914096516765e-08,-0.69756645,0.8298723,0.65475625,0.5054666,-35.13527512550354,5.492151960730553,134008
11,6.250405382040721,6.197047763834007e-09,3.0985238819170036e-07,0.061385132,1.0,0.53912324,1.0,-29.89016056060791,11.0,160000
12,15.761267508327943,9.673073509475216e-05,0.004836536754737608,0.039717767,0.7754896,-0.8697048,1.0,-36.77802264690399,4.98865208029747,160000
13,11.965486053480202,2.1824091618327657e-06,0.00010912045809163828,-0.20927502,1.0,-0.021041162,-0.22861621,-26.18644118309021,11.0,160000
14,8.726253785311467,8.45854586373207e-08,4.229272931866035e-06,0.8182141,-0.30105987,0.037445907,-0.9039844,-41.818249225616455,3.0050346851348877,93698
15,11.120259159413227,9.367450957142864e-07,4.683725478571432e-05,0.124471374,-0.19876154,-1.0,0.52499175,-52.034398317337036,5.028371647000313,119775
16,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,0.01957678,-0.3228873,-1.0,-40.05342524498701,1.0,111006
17,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.73490286,-1.0,0.35050002,0.38809448,-48.69281768798828,10.35377985239029,45475
18,11.975906101379964,2.205276814493118e-06,0.00011026384072465589,0.90500367,0.66683024,0.5403198,-0.6137303,-44.45571541786194,6.14168918132782,160000
19,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.24463221,-1.0,0.32682806,-1.0,-20.0,4.044944405555725,101281
20,22.39495082617084,0.02318446896970272,1.159223448485136,-0.45887527,1.0,-0.47228277,0.86425686,-60.0,1.0,160000
21,5.5668868719886575,2.633340878688273e-09,1.3166704393441364e-07,0.22686854,-0.089137554,0.21321034,0.6305819,-20.0,1.1217979192733765,32000
22,24.853469870781716,0.055057089775800705,2.7528544887900352,-0.35735822,-1.0,1.0,-0.11427694,-57.246060371398926,1.0,99841
23,8.386728945117188,5.994621687932522e-08,2.997310843966261e-06,-0.7280076,-1.0,-0.5805465,1.0,-20.0,2.766340136528015,56368
24,8.884989717042306,9.930851518902273e-08,4.965425759451136e-06,-0.57795507,1.0,-1.0,1.0,-41.018046513199806,4.890586271882057,160000
25,11.507522943481254,1.3802163039144943e-06,6.901081519572472e-05,0.84449285,-0.5692889,0.47083962,-0.36702916,-28.0126690864563,1.0,97191
26,8.091803988757373,4.4379824259976886e-08,2.2189912129988443e-06,0.16747727,-0.7587256,0.5694806,-0.2594428,-56.07054829597473,11.0,66990
27,12.104082044445398,2.5069539333344437e-06,0.00012534769666672219,1.0,1.0,-1.0,0.8031065,-26.40093684196472,4.577059954404831,44483
28,8.575566939800293,7.26135525042082e-08,3.63067762521041e-06,-0.21334842,0.33518565,-0.095105104,1.0,-47.25793778896332,8.875211834907532,111219
29,11.062312149857076,8.839523388814996e-07,4.419761694407498e-05,1.0,-1.0,-0.5606864,-0.5544545,-42.3155651986599,2.1930015683174133,101296
30,12.38301616175251,3.313679826533189e-06,0.00016568399132665945,-0.8002598,0.0026945202,1.0,-0.9359935,-44.75977569818497,6.495104789733887,160000
31,5.52183790576418,2.473294680171989e-09,1.2366473400859945e-07,0.5000054,-0.55320626,0.19209236,-0.5521271,-20.0,6.408234149217606,32000
32,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.33152196,-0.35212722,-1.0,-1.0,-36.77685737609863,1.0,160000
33,16.547703506408784,0.00021116735297255218,0.010558367648627609,-0.21355124,0.10525047,0.62643206,0.40215605,-42.43183434009552,1.0,121489
34,4.8790498990976126,8.263431605648464e-10,4.131715802824232e-08,-0.25429997,-0.39023387,1.0,-0.37493134,-60.0,4.997751548886299,103148
35,8.791813044655566,9.03843613286881e-08,4.519218066434405e-06,-0.34517857,0.33209518,-0.39925283,0.39769843,-28.203909397125244,11.0,85399
