step,reward
11,0.017407
12,0.017407
13,0.017407
14,0.017407
15,0.017407
16,0.017407
17,0.017407
18,0.017407
19,0.017407
20,0.017407
21,0.000223
22,0.000223
23,0.000223
24,0.000223
25,0.000223
26,0.000223
27,0.000223
28,0.000223
29,0.000223
30,0.000223
31,5e-06
32,5e-06
33,5e-06
34,5e-06
35,5e-06
36,5e-06
37,5e-06
38,5e-06
39,5e-06
40,5e-06
41,1.6e-05
42,1.6e-05
43,1.6e-05
44,1.6e-05
45,1.6e-05
46,1.6e-05
47,1.6e-05
48,1.6e-05
49,1.6e-05
50,1.6e-05
51,3e-06
52,3e-06
53,3e-06
54,3e-06
55,3e-06
56,3e-06
57,3e-06
58,3e-06
59,3e-06
60,3e-06
61,7e-06
62,7e-06
63,7e-06
64,7e-06
65,7e-06
66,7e-06
67,7e-06
68,7e-06
69,7e-06
70,7e-06
71,3.7e-05
72,3.7e-05
73,3.7e-05
74,3.7e-05
75,3.7e-05
76,3.7e-05
77,3.7e-05
78,3.7e-05
79,3.7e-05
80,3.7e-05
81,5.6e-05
82,5.6e-05
83,5.6e-05
84,5.6e-05
85,5.6e-05
86,5.6e-05
87,5.6e-05
88,5.6e-05
89,5.6e-05
90,5.6e-05
91,4e-06
92,4e-06
93,4e-06
94,4e-06
95,4e-06
96,4e-06
97,4e-06
98,4e-06
99,4e-06
100,4e-06
101,0.000114
102,0.000114
103,0.000114
104,0.000114
105,0.000114
106,0.000114
107,0.000114
108,0.000114
109,0.000114
110,0.000114
111,0.000104
112,0.000104
113,0.000104
114,0.000104
115,0.000104
116,0.000104
117,0.000104
118,0.000104
119,0.000104
120,0.000104
121,0.000125
122,0.000125
123,0.000125
124,0.000125
125,0.000125
126,0.000125
127,0.000125
128,0.000125
129,0.000125
130,0.000125
131,0.00011
132,0.00011
133,0.00011
134,0.00011
135,0.00011
136,0.00011
137,0.00011
138,0.00011
139,0.00011
140,0.00011
141,4e-06
142,4e-06
143,4e-06
144,4e-06
145,4e-06
146,4e-06
147,4e-06
148,4e-06
149,4e-06
150,4e-06
151,0.005963
152,0.005963
153,0.005963
154,0.005963
155,0.005963
156,0.005963
157,0.005963
158,0.005963
159,0.005963
160,0.005963
