step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
245761,1,0.001220703125,8.642549514770508,2.6400189767628035e-07,0.0,9,-0.4087153,0.0,-1.0,1.0,-20.0,1.0,82309,0.328394,-1.0,-0.8813474,1.0,0.5227644,-1.0,0.1977115,0.59110916,-1.0,-1.0,1.0,0.94097584,-1.0,0.35588068
245762,2,0.00244140625,16.69196128845215,0.00043583614751696587,0.0,9,-1.0,1.0,-1.0,1.0,-20.0,1.0,123533,-0.5443293,0.8770175,-1.0,0.09613657,1.0,-1.0,1.0,-0.9797927,1.0,-1.0,0.17304581,1.0,-1.0,1.0
245763,3,0.003662109375,16.899507522583008,0.0005363643285818398,0.0,9,-0.44679385,1.0,-1.0,0.76954174,-20.0,1.0,123533,0.30723923,0.084145606,-0.14329892,-0.12801254,1.0,-1.0,1.0,0.5530306,0.1514621,-0.25793806,-0.23042256,1.0,-1.0,1.0
245764,4,0.0048828125,9.209298133850098,3.3417677514080424e-07,0.0,9,-1.0,0.0,-1.0,1.0,-32.96428322792053,1.0,103546,-0.22765052,-0.74311805,-1.0,0.18361747,-0.3599971,-0.44352072,0.38205725,-0.40977094,-1.0,-1.0,0.33051145,-0.64799476,-0.7983373,0.687703
245765,5,0.006103515625,7.739716053009033,1.0841904440894723e-07,0.0,9,-1.0,1.0,-1.0,1.0,-20.0,1.0,81139,-1.0,0.20846093,-1.0,0.93395734,1.0,-1.0,0.187554,-1.0,0.37522966,-1.0,1.0,1.0,-1.0,0.3375972
245766,6,0.00732421875,10.226698875427246,6.774163807676814e-07,0.0,9,-1.0,0.46202582,-1.0,1.0,-29.19492483139038,1.0,123533,-0.9895525,-0.29887456,-1.0,1.0,-0.2552927,-1.0,0.6118618,-1.0,-0.5379742,-1.0,1.0,-0.45952687,-1.0,1.0
245767,7,0.008544921875,3.084092378616333,7.861122242047713e-08,0.0,9,0.00017553568,1.0,-1.0,0.6555567,-40.004388093948364,1.0,123533,1.0,1.0,-0.5661509,-0.19133759,-0.80255324,-1.0,1.0,1.0,1.0,-1.0,-0.34440765,-1.0,-1.0,1.0
245768,8,0.009765625,10.180071830749512,6.465099886554526e-07,0.0,9,-1.0,0.0,-1.0,1.0,-20.0,1.0,123533,-0.64223677,-0.742606,-0.7421457,1.0,0.15560365,-1.0,0.83336437,-1.0,-1.0,-1.0,1.0,0.28008655,-1.0,1.0
245769,9,0.010986328125,1.301443099975586,5.4964019113867835e-08,0.0,9,0.00017553568,0.3561836,-1.0,1.0,-20.0,1.0,32000,0.6960918,-0.3576758,-0.5333402,0.08986902,1.0,-0.7227186,-1.0,1.0,-0.6438164,-0.9600124,0.16176423,1.0,-1.0,-1.0
245770,10,0.01220703125,11.404579162597656,2.2021474705979927e-06,0.0,9,-1.0,1.0,-1.0,1.0,-20.0,1.0,123533,-0.54000294,0.44454482,-0.7023696,0.8945009,1.0,-0.71731246,0.7633481,-0.97200525,0.8001807,-1.0,1.0,1.0,-1.0,1.0
245771,11,0.013427734375000002,1.3601243495941162,7.031651261257821e-09,0.0,3,-1.0,1.0,0.16194296,1.0,-49.50127601623535,1.0,160000,-0.75232387,0.24186257,1.0,1.0,-0.37800372,-1.0,1.0,-1.0,0.4353526,1.0,1.0,-0.6804067,-1.0,1.0
245772,12,0.0146484375,14.751067161560059,3.539423778420314e-05,0.0,3,0.6434,1.0,-1.0,0.38362947,-20.0,1.0,160000,0.94413954,1.0,-0.67440456,-0.27020586,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.48637053,1.0,-1.0,1.0
245773,13,0.015869140625,10.663281440734863,5.969303629171918e-07,0.0,3,-0.41992846,1.0,-0.338049,1.0,-55.893142223358154,1.0346368551254272,160000,-0.035182483,1.0,0.27778226,1.0,-1.0,-0.11702448,1.0,-0.06332847,1.0,0.50000805,1.0,-1.0,-0.21064407,1.0
245774,14,0.01708984375,16.097187042236328,0.0001360048190690577,0.0,3,-1.0,0.9844416,-1.0,1.0,-20.0,1.0,160000,-0.64757353,-0.007834017,-0.17533821,0.9477939,1.0,-1.0,0.8190156,-1.0,-0.014101231,-0.31560877,1.0,1.0,-1.0,1.0
245775,15,0.018310546875,3.1322226524353027,4.625169225391801e-08,0.0,3,-1.0,1.0,-1.0,1.0,-38.63519847393036,1.0,160000,-0.42741397,0.8422569,-1.0,0.39271355,-0.07616824,-0.6123291,0.8067175,-0.7693451,1.0,-1.0,0.7068844,-0.13710283,-1.0,1.0
245776,16,0.01953125,10.2083158493042,3.7575011901935795e-07,0.0,3,0.19436872,1.0,-1.0,1.0,-32.55404710769653,1.0,160000,0.30609372,1.0,-0.56753653,1.0,0.092752635,-0.7996352,0.9500532,0.5509687,1.0,-1.0,1.0,0.16695474,-1.0,1.0
245777,17,0.020751953125,13.58403205871582,1.1017132237611804e-05,0.0,3,-1.0,1.0,-1.0,1.0,-55.893142223358154,1.0,160000,-1.0,1.0,-0.50654507,1.0,-0.6310923,-1.0,1.0,-1.0,1.0,-0.9117811,1.0,-1.0,-1.0,1.0
245778,18,0.02197265625,0.7928290963172913,3.55440521460082e-09,0.0,3,-0.60477597,1.0,0.16194296,1.0,-20.0,1.0,160000,-0.13787556,1.0,1.0,1.0,1.0,-0.3557657,1.0,-0.248176,1.0,1.0,1.0,1.0,-0.64037824,1.0
245779,19,0.023193359375,9.26075553894043,1.450605111585901e-07,0.0,3,0.6434,1.0,-1.0,1.0,-20.0,1.0,160000,1.0,1.0,-0.6174984,1.0,1.0,-1.0,0.7894289,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
245780,20,0.0244140625,14.531293869018555,0.00011157199332956225,0.0,3,0.6434,1.0,-1.0,1.0,-20.0,1.0,72456,0.667558,1.0,-1.0,1.0,1.0,-1.0,-0.2965412,1.0,1.0,-1.0,1.0,1.0,-1.0,-0.5337742
245781,21,0.025634765625,3.593208074569702,9.042660309432904e-08,0.0,8,0.46003217,1.0,-1.0,1.0,-20.0,1.0,147260,1.0,0.9333667,-0.45954883,1.0,0.56333905,-0.99219733,0.4005393,1.0,1.0,-0.8271879,1.0,1.0,-1.0,0.72097075
245782,22,0.026855468750000003,18.336111068725586,0.0023569087497889996,0.0,8,-1.0,1.0,-1.0,1.0,-44.35419708490372,1.0,120737,-1.0,1.0,-0.5248462,0.36341596,-0.14319146,-1.0,0.17030516,-1.0,1.0,-0.9447231,0.6541487,-0.2577446,-1.0,0.30654928
245783,23,0.028076171874999997,18.00578498840332,0.000917170662432909,0.0,8,0.084190905,1.0,-1.0,1.0,-20.0,1.0,160000,0.34675485,1.0,-0.7796947,0.88891196,1.0,-0.36605322,0.8411032,0.62415874,1.0,-1.0,1.0,1.0,-0.6588958,1.0
245784,24,0.029296875,-2.499046564102173,1.55173499050143e-10,0.0,8,0.35078597,-0.21997559,-1.0,1.0,-20.0,1.0,37118,0.49486324,-0.71531326,-1.0,1.0,1.0,-1.0,-0.5970781,0.8907538,-1.0,-1.0,1.0,1.0,-1.0,-1.0
245785,25,0.030517578125,19.048078536987305,0.00260083912871778,0.0,8,0.46003217,1.0,-1.0,1.0,-51.03643178939819,1.0,160000,0.5943172,1.0,-1.0,1.0,-0.32880908,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.59185636,-1.0,1.0
245786,26,0.03173828125,17.185392379760742,0.0004037920734845102,0.0,8,-1.0,1.0,-0.95878255,1.0,-43.800769448280334,1.0,160000,-1.0,1.0,-0.17153513,0.5889457,-0.12781847,-1.0,0.6106529,-1.0,1.0,-0.30876324,1.0,-0.23007323,-1.0,1.0
245787,27,0.032958984375,11.714451789855957,4.720019660453545e-06,0.0,8,-1.0,-0.21997559,-1.0,1.0,-20.0,1.0,94588,-0.8175883,-0.97181904,-1.0,1.0,0.98933196,-0.37564403,-0.0566867,-1.0,-1.0,-1.0,1.0,1.0,-0.6761592,-0.10203606
245788,28,0.0341796875,11.531354904174805,1.4136263644104474e-06,0.0,8,-1.0,1.0,0.3499807,1.0,-20.0,1.0,160000,-0.5965032,1.0,0.5644775,1.0,0.99299955,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
245789,29,0.035400390625,21.394859313964844,0.027183640748262405,0.0,8,-0.93316925,1.0,-1.0,1.0,-59.19930458068848,1.0,160000,-0.21844524,0.52533776,-1.0,0.9608528,-1.0,-1.0,1.0,-0.3932014,0.94560796,-1.0,1.0,-1.0,-1.0,1.0
245790,30,0.03662109375,1.1889458894729614,4.516596874282186e-08,0.0,8,0.27646762,1.0,-1.0,1.0,-59.19930458068848,1.0,37118,0.45357525,0.2576977,-1.0,0.5818827,-1.0,-0.73734176,-0.5804931,0.81643546,0.46385586,-1.0,1.0,-1.0,-1.0,-1.0
245791,31,0.037841796875,9.584966659545898,3.535805888077448e-07,0.0,3,0.640055,1.0,0.1600452,1.0,-55.99586009979248,1.0,123987,0.62842107,0.42280215,1.0,1.0,-1.0,-1.0,0.14320251,1.0,0.76104385,1.0,1.0,-1.0,-1.0,0.25776452
