step,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1,208.23855678624523,1.3153556369105424e-11,9.865167276829068e-10,9,-1.0,-1.0,-0.7437258,-0.9451542,-28.85810375213623,1.0,160000
2,105.13930378264874,1.49230801327338e-11,1.1192310099550351e-09,3,0.0,-1.0,-1.0,-0.8290922,-44.83752757310867,1.0,155243
3,8.186462798407936,3.6366714084579144e-08,2.7275035563434358e-06,6,-0.78814316,-0.6173378,0.3,0.46296883,-46.155861020088196,1.0,96000
4,9.055668294594463,4.539432296724044e-08,3.404574222543033e-06,6,-1.0,-1.0,0.3,0.06389588,-33.030943870544434,1.0,124840
5,-0.8110048862493775,1.7955701370198085e-09,1.3466776027648564e-07,2,0.0,0.0,0.3,-1.0,-30.35209894180298,3.728184759616852,97341
6,1.5751554465585036,9.494969255285923e-09,7.121226941464442e-07,2,-0.15906894,-1.0,0.13385558,-0.24527524,-48.393179178237915,1.2623772621154785,160000
7,13.446598493796673,1.446783670644436e-07,1.085087752983327e-05,1,-0.9534071,-1.0,-1.0,0.6005886,-22.958364486694336,2.462104022502899,138906
8,1.9091408470335374,1.290718643076616e-08,9.68038982307462e-07,2,-1.0,-1.0,-0.71366614,-0.13386339,-20.0,1.0,160000
9,8.535394887674494,5.5182301395007016e-08,4.138672604625526e-06,6,-1.0,0.0,0.2823522,-0.3978224,-33.39537441730499,6.0,96000
10,48.021024492553316,2.30552018448682e-11,1.729140138365115e-09,3,0.0,-0.43199813,0.18117577,-0.80377626,-60.0,1.0,96000
11,0.9457214152251026,1.9810403983910874e-08,1.4857802987933155e-06,2,-1.0,-0.717969,-0.034331024,0.5733091,-60.0,5.656266868114471,96000
12,13.934331051632755,1.4932692238289746e-07,1.119951917871731e-05,1,-0.28338057,-0.32783318,-0.7593645,0.7,-60.0,1.0,160000
13,14.354161490435967,2.5957899651984917e-07,1.9468424738988688e-05,1,-1.0,-1.0,0.17763412,-0.40868223,-20.0,3.0265915989875793,160000
14,14.385783518956755,2.0211616913456965e-07,1.5158712685092723e-05,1,0.0,-1.0,-1.0,0.7,-45.2227658033371,1.0,160000
15,0.35807560491815993,3.6530969360626386e-09,2.739822702046979e-07,2,-0.94416445,-0.93321407,0.24297106,-0.46827948,-42.01563984155655,3.280959188938141,160000
