step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
114689,13.662320916411337,1.1907305633940268e-05,0.0005953652816970134,-0.25384164,-0.849038,-0.4437915,0.5454077,-20.0,1.0,160000
114690,13.489430809778188,1.0017571185017005e-05,0.0005008785592508502,-0.70053524,-1.0,-1.0,1.0,-48.35378646850586,1.0,160000
114691,13.296282087168082,8.258629350166302e-06,0.0004129314675083151,-1.0,-1.0,-0.5472207,1.0,-38.75326633453369,1.0,160000
114692,13.489430809778188,1.0017571185017005e-05,0.0005008785592508502,-1.0,-1.0,-1.0,1.0,-34.5871376991272,1.0,160000
114693,13.3086747918697,8.361582331417594e-06,0.0004180791165708797,-1.0,-1.0,-0.2618543,1.0,-46.658782958984375,1.0,160000
114694,13.489430809778188,1.0017571185017005e-05,0.0005008785592508502,-1.0,-1.0,-1.0,1.0,-20.0,1.0,120007
114695,14.824079657305878,3.8002948713256046e-05,0.0019001474356628023,-1.0,0.4448943,-1.0,1.0,-37.918498516082764,1.0,160000
114696,13.489430809778188,1.0017571185017005e-05,0.0005008785592508502,-1.0,-1.0,-1.0,1.0,-60.0,1.0,160000
114697,13.489430809778188,1.0017571185017005e-05,0.0005008785592508502,-1.0,-0.4244516,-1.0,1.0,-53.60784292221069,1.0,160000
114698,13.288044871335005,8.190900189219974e-06,0.0004095450094609987,-1.0,-1.0,-0.48649794,1.0,-20.0,1.0,160000
114699,20.8283469732025,0.009563327766954899,0.47816638834774494,-0.42762998,0.29413414,-1.0,1.0,-31.08627200126648,1.5935105681419373,89779
114700,17.10906533545272,0.0003673105384223163,0.018365526921115816,1.0,-1.0,-1.0,0.33765352,-20.0,1.0,160000
114701,21.410482144638955,0.013829159550368786,0.6914579775184393,-0.8974243,-0.7793067,-0.29408598,1.0,-20.24994134902954,1.0,160000
114702,18.897147928652004,0.0020214777905493975,0.10107388952746987,-1.0,0.4696982,-1.0,0.822373,-20.0,3.339317202568054,160000
114703,21.836249582004633,0.01756356470286846,0.8781782351434231,-1.0,-1.0,-1.0,1.0,-44.2309832572937,1.0,160000
114704,18.441870799497487,0.001327441306784749,0.06637206533923745,0.18110883,-1.0,-1.0,1.0,-20.0,1.0,160000
114705,73.54280611325554,0.9714357256889343,48.571786284446716,-1.0,-1.0,-1.0,-0.586164,-20.0,1.0,160000
114706,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,1.0,1.0,-1.0,-20.594544410705566,1.0,69578
114707,73.01223439344243,0.9610394835472107,48.051974177360535,0.061237097,-1.0,-1.0,-0.41380203,-20.0,1.0,160000
