step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
573441,1,0.001220703125,17.189449310302734,1.0216740520263556e-07,0.0,9,0.7699013,1.0,0.08003837,1.0,-20.0,1.0,135995,0.7462903,0.20747513,0.8884144,1.0,0.47850746,-1.0,0.09735751,1.0,0.37345523,1.0,1.0,0.8613134,-1.0,0.17524351
573442,2,0.00244140625,20.555967330932617,8.820202492643148e-05,0.0,9,-1.0,1.0,-1.0,1.0,-20.0,1.0,160000,-1.0,1.0,-1.0,1.0,0.6269841,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
573443,3,0.003662109375,18.46542739868164,6.465099886554526e-07,0.0,9,-0.95240533,-9.059906e-05,-1.0,1.0,-20.0,1.0,160000,-0.40128148,-0.98726064,-1.0,1.0,1.0,-1.0,0.9473435,-0.7223066,-1.0,-1.0,1.0,1.0,-1.0,1.0
573444,4,0.0048828125,20.748825073242188,0.00012346671428531408,0.0,9,0.18202592,0.33973145,-1.0,1.0,-20.0,1.0,160000,0.22895813,-0.36676556,-0.83604866,1.0,0.37825945,-1.0,1.0,0.41212463,-0.660178,-1.0,1.0,0.680867,-1.0,1.0
573445,5,0.006103515625,19.88163948059082,0.0003128543612547219,0.0,9,0.7699013,0.46330148,-1.0,1.0,-40.003838539123535,1.0,78974,1.0,-0.29811555,-1.0,1.0,-1.0,-1.0,-0.3976214,1.0,-0.536608,-1.0,1.0,-1.0,-1.0,-0.7157185
573446,6,0.00732421875,20.426591873168945,5.950378908892162e-05,0.0,9,0.7699013,1.0,-1.0,1.0,-40.003838539123535,1.0,160000,1.0,1.0,-1.0,0.26392233,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.4750602,-1.0,-1.0,1.0
573447,7,0.008544921875,20.77952766418457,0.00013917665637563914,0.0,9,0.7699013,1.0,-1.0,1.0,-20.0,1.0,160000,1.0,0.20680535,-1.0,1.0,0.20314416,-1.0,1.0,1.0,0.3722496,-1.0,1.0,0.36565948,-1.0,1.0
573448,8,0.009765625,17.676380157470703,1.1795045651297187e-07,0.0,9,0.22411327,1.0,-1.0,1.0,-32.99145221710205,1.0,160000,0.25234,0.50217927,-1.0,1.0,-0.360767,-1.0,1.0,0.45421198,0.9039227,-1.0,1.0,-0.6493806,-1.0,1.0
573449,9,0.010986328125,18.46542739868164,6.465099886554526e-07,0.0,9,-0.34018958,-9.059906e-05,-1.0,1.0,-20.0,1.0,160000,-0.061161585,-1.0,-1.0,1.0,1.0,-1.0,1.0,-0.11009085,-1.0,-1.0,1.0,1.0,-1.0,1.0
573450,10,0.01220703125,21.512378692626953,0.0006906645721755922,0.0,9,-1.0,1.0,-1.0,1.0,-20.0,1.0,160000,-1.0,0.3314442,-1.0,1.0,0.31548217,-1.0,1.0,-1.0,0.5965996,-1.0,1.0,0.5678679,-1.0,1.0
573451,11,0.013427734375000002,17.84380531311035,1.3237357734396937e-06,0.0,3,-0.09066963,-0.32514286,0.2102856,1.0,-20.0,4.565463721752167,121391,0.27929467,-1.0,1.0,0.5377083,0.6861303,0.316877,1.0,0.50273037,-1.0,1.0,0.9678749,1.0,0.5703786,1.0
