step,reward,score,bonus
1,8.785179503918506,8.977853838132432e-08,2.244463459533108e-05
2,8.564758137482112,7.182111971815175e-08,1.7955279929537937e-05
3,5.47479433794596,2.3136808025014943e-09,5.784202006253736e-07
4,13.775264756545262,1.3294845302880276e-05,0.003323711325720069
5,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
6,11.196678848198964,1.011008180284989e-06,0.00025275204507124727
7,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
8,4.632521910133114,4.2730441407456965e-10,1.0682610351864241e-07
9,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
10,5.304767028708316,1.795559922967982e-09,4.488899807419955e-07
11,9.180766216074298,1.3382782526605297e-07,3.345695631651324e-05
12,9.0688274331111,1.1954985268403107e-07,2.9887463171007767e-05
13,18.89256002765947,0.0015217678155750036,0.3804419538937509
14,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
15,6.992671901244268,1.4118727520440189e-08,3.529681880110047e-06
16,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
17,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
18,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
19,11.05508567896554,8.774264301791845e-07,0.00021935660754479613
20,13.256998230130367,7.927998922241386e-06,0.0019819997305603465
21,11.196846597000617,1.0111779147337074e-06,0.00025279447868342686
22,13.006230700346693,6.17208206676878e-06,0.001543020516692195
23,4.464113776742623,2.06084982412591e-10,5.152124560314775e-08
24,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
25,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
26,5.2963351240272765,1.772087143692147e-09,4.4302178592303676e-07
27,8.303114815806804,5.505687994400432e-08,1.376421998600108e-05
28,11.420485407219962,1.2647689118239214e-06,0.00031619222795598034
29,6.476559211504824,8.023416597779942e-09,2.0058541494449855e-06
30,5.017028138158312,1.09655118318841e-09,2.741377957971025e-07
31,16.873385116915486,0.000275868660537526,0.0689671651343815
32,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
33,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
34,8.433846938329587,6.288579612601097e-08,1.5721449031502743e-05
35,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
36,6.083860741555717,5.092906985026957e-09,1.2732267462567393e-06
37,8.097709574453066,4.464820335670083e-08,1.1162050839175208e-05
38,6.057328145445484,4.9333723772804206e-09,1.2333430943201051e-06
39,8.881495467412073,9.895664732084697e-08,2.4739161830211742e-05
40,5.304767028708316,1.795559922967982e-09,4.488899807419955e-07
41,8.055770633990132,4.277337595226527e-08,1.0693343988066317e-05
42,8.811158635233387,9.21677312248903e-08,2.3041932806222576e-05
43,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
44,7.738356338368305,3.086838518129298e-08,7.717096295323245e-06
45,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
46,11.269267038399747,1.0871791573663359e-06,0.00027179478934158396
47,4.757348440116705,6.170671751348777e-10,1.5426679378371944e-07
48,9.472585509460666,1.795136626014937e-07,4.487841565037343e-05
49,27.50869283744502,0.024819305166602135,6.204826291650534
50,11.795178633445472,1.8398533256913652e-06,0.0004599633314228413
51,13.519853225547761,1.0305629984941334e-05,0.0025764074962353334
52,10.437415405532299,4.7269472247535305e-07,0.00011817368061883826
53,8.257471165467411,5.2555787277697164e-08,1.3138946819424291e-05
54,11.536066976838937,1.4198035387380514e-06,0.00035495088468451286
55,5.946112518363499,4.308860823698524e-09,1.077215205924631e-06
56,12.034552312744431,2.3374270767817507e-06,0.0005843567691954377
57,8.613171655626328,7.543331292936273e-08,1.8858328232340682e-05
58,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
59,13.50250444313242,1.0128812391485553e-05,0.0025322030978713883
60,9.071934469630284,1.1992497661594825e-07,2.9981244153987063e-05
61,4.870191061974462,8.102350457228624e-10,2.025587614307156e-07
62,8.147527543777343,4.6979874213093353e-08,1.1744968553273338e-05
63,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
64,16.798811133138486,0.00025723958970047534,0.06430989742511883
65,7.020257293237005,1.4541587489702579e-08,3.6353968724256447e-06
66,7.172864576754808,1.7103877425483915e-08,4.275969356370979e-06
67,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
68,11.832152849761282,1.9091582998953527e-06,0.00047728957497383817
69,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
70,13.788778324066605,1.3475131709128618e-05,0.0033687829272821546
71,10.807758804094519,6.849833766864322e-07,0.00017124584417160804
72,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
73,7.836030337030216,3.413815719000013e-08,8.534539297500032e-06
74,55.98075766153087,0.1320221722126007,33.00554305315018
75,4.344764119640674,7.039735461233931e-11,1.759933865308483e-08
76,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
77,20.889761426591583,0.0048632435500621796,1.215810887515545
78,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
79,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
80,13.108018396263034,6.832389772171155e-06,0.0017080974430427887
81,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
82,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
83,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
84,9.843308792908642,2.6051966983686725e-07,6.512991745921681e-05
85,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
86,4.558195677404684,3.250648916708343e-10,8.126622291770857e-08
87,9.236831789238858,1.4160266914586828e-07,3.540066728646707e-05
88,6.768005899440068,1.1076591199810082e-08,2.7691477999525205e-06
89,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
90,4.4920219630098925,2.402187060379646e-10,6.005467650949114e-08
91,9.048110681275967,1.1707821556683484e-07,2.926955389170871e-05
92,8.462277181335978,6.472811975299919e-08,1.6182029938249798e-05
93,10.786502519627097,6.705582222821249e-07,0.00016763955557053123
94,4.611055810985653,3.9699227238898516e-10,9.924806809724629e-08
95,8.828197291724656,9.376874743338703e-08,2.344218685834676e-05
96,4.413189225564702,1.4620332722259377e-10,3.655083180564844e-08
97,10.570440860191058,5.400824534262938e-07,0.00013502061335657345
98,8.873931154798374,9.82034151775224e-08,2.45508537943806e-05
99,4.324567775859912,4.8996088436448204e-11,1.2249022109112051e-08
100,4.494453255238636,2.4323770775325215e-10,6.080942693831304e-08
101,10.116444838560257,3.426504520120943e-07,8.566261300302358e-05
102,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
103,9.771518834293,2.4240435436695407e-07,6.060108859173852e-05
104,7.87346988070929,3.5478638693575704e-08,8.869659673393926e-06
105,6.071955743173141,5.020801108202022e-09,1.2552002770505055e-06
106,10.992380037643766,8.240465945164033e-07,0.00020601164862910082
107,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
108,13.086981404925583,6.690374902973417e-06,0.0016725937257433543
109,8.140703708354774,4.665358588340496e-08,1.166339647085124e-05
110,13.254778851010734,7.910455678938888e-06,0.001977613919734722
111,10.136091652375143,3.4946825167025963e-07,8.736706291756491e-05
112,15.004293754824529,4.5083274017088115e-05,0.011270818504272029
113,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
114,8.356733215392861,5.8144554060390874e-08,1.4536138515097718e-05
115,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
116,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
117,11.447734687991101,1.2997230669498094e-06,0.00032493076673745236
118,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
119,8.488789960000041,6.649403161418377e-08,1.6623507903545942e-05
120,7.71316853612964,3.0075721468847405e-08,7.518930367211851e-06
121,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
122,9.466198971089435,1.7836453025665833e-07,4.459113256416458e-05
123,7.875671933852409,3.555905436769535e-08,8.889763591923838e-06
124,5.417533979086244,2.1292685392637622e-09,5.323171348159406e-07
125,10.072502859766356,3.278779558968381e-07,8.196948897420953e-05
126,10.728411013810625,6.326638981590804e-07,0.0001581659745397701
127,10.381942869851555,4.471360739444208e-07,0.0001117840184861052
128,9.099119231685158,1.2325727993811597e-07,3.081431998452899e-05
129,4.936141876771126,9.33646271406019e-10,2.3341156785150474e-07
130,5.304767028708316,1.795559922967982e-09,4.488899807419955e-07
131,23.83234671673481,0.012771532870829105,3.1928832177072763
132,12.133305544840503,2.579984993644757e-06,0.0006449962484111893
133,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
134,18.048751908405197,0.00078652857337147,0.1966321433428675
135,14.336924849020296,2.3256352505995892e-05,0.005814088126498973
136,9.636290084235835,2.1161925189971953e-07,5.290481297492988e-05
137,9.423052158010357,1.7079042891054996e-07,4.269760722763749e-05
138,7.054283010790982,1.5079498538739244e-08,3.769874634684811e-06
139,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
140,4.3183517116925865,4.249568752445754e-11,1.0623921881114384e-08
141,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
142,8.197867669067993,4.945698250935493e-08,1.2364245627338732e-05
143,10.139749454786124,3.507524297674536e-07,8.76881074418634e-05
144,7.740163272639748,3.092602085530416e-08,7.73150521382604e-06
145,23.152671462293068,0.010744230821728706,2.6860577054321766
146,20.85603870236482,0.004789484199136496,1.197371049784124
147,16.58529790231624,0.0002102387952618301,0.05255969881545752
148,8.261916700472316,5.279439818650644e-08,1.319859954662661e-05
149,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
150,5.304767028708316,1.795559922967982e-09,4.488899807419955e-07
151,8.756128463889578,8.717932331592237e-08,2.1794830828980594e-05
152,7.640186032303948,2.7888537701414862e-08,6.972134425353715e-06
153,8.868098744674256,9.762651842493142e-08,2.4406629606232855e-05
154,13.511309109154773,1.0218167517450638e-05,0.0025545418793626595
155,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
156,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
157,9.932417501515372,2.8489142778198584e-07,7.122285694549646e-05
158,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
159,9.295335382654567,1.501939834724908e-07,3.75484958681227e-05
160,4.31772352012986,4.184100635407084e-11,1.046025158851771e-08
161,4.621366745178211,4.1147107943118044e-10,1.0286776985779511e-07
162,9.236980466505365,1.4162387174110336e-07,3.540596793527584e-05
163,10.457880967815125,4.824878487852402e-07,0.00012062196219631005
164,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
165,10.532926372614156,5.201626436246443e-07,0.00013004066090616107
166,4.672843348943438,4.860313818078055e-10,1.2150784545195137e-07
167,7.846503665183967,3.4508101265373625e-08,8.627025316343406e-06
168,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
169,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
170,5.79695866483371,3.573247697730153e-09,8.933119244325383e-07
171,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
172,8.759696425824764,8.749449875722348e-08,2.187362468930587e-05
173,4.801221379081624,6.895919391070038e-10,1.7239798477675095e-07
174,9.858206515524149,2.6444462264407775e-07,6.611115566101944e-05
175,8.810711536335955,9.21260863151474e-08,2.303152157878685e-05
176,8.743834210876155,8.610188473312519e-08,2.1525471183281297e-05
177,12.57599022339282,4.015845206595259e-06,0.0010039613016488147
178,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
179,4.56919418208412,3.3971905843976913e-10,8.492976460994228e-08
180,8.725886147995634,8.455255340322765e-08,2.1138138350806912e-05
181,11.003205812253476,8.330250125254679e-07,0.00020825625313136698
182,10.8126543637407,6.88349302890856e-07,0.000172087325722714
183,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
184,17.26609651799441,0.0003964291245210916,0.0991072811302729
185,9.145459616853334,1.2915072034047625e-07,3.2287680085119064e-05
186,9.310645276151607,1.5252646790031577e-07,3.813161697507894e-05
187,9.841283115337164,2.5999048602898256e-07,6.499762150724564e-05
188,12.055156173772664,2.3860784494900145e-06,0.0005965196123725036
189,5.4601942677704844,2.265652332411605e-09,5.664130831029013e-07
190,11.07151967996934,8.91978515937808e-07,0.000222994628984452
191,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
192,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
193,8.335690683707103,5.6913023627203074e-08,1.4228255906800769e-05
194,6.1883632890204865,5.764089650028836e-09,1.441022412507209e-06
195,4.717190093524486,5.53415091530951e-10,1.3835377288273776e-07
196,8.326418485219698,5.6378532065082254e-08,1.4094633016270564e-05
197,6.913794348177566,1.297202256722585e-08,3.2430056418064623e-06
198,12.212683296598904,2.7930595933867153e-06,0.0006982648983466788
199,7.073756944187124,1.5395697161579847e-08,3.848924290394962e-06
200,8.556131563559447,7.119563605328949e-08,1.7798909013322373e-05
201,8.450512140517585,6.395936935632562e-08,1.5989842339081406e-05
202,12.205744064755658,2.773751475615427e-06,0.0006934378689038567
203,10.208624347563353,3.7583077983072144e-07,9.395769495768036e-05
204,8.22110064016639,5.064295649503947e-08,1.2660739123759868e-05
205,8.213611889361133,5.0257664696573556e-08,1.2564416174143389e-05
206,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
207,4.324705873354126,4.914096213282093e-11,1.2285240533205233e-08
208,8.268903200911389,5.3171543612506866e-08,1.3292885903126717e-05
209,13.98124519241414,1.6323627278325148e-05,0.004080906819581287
210,16.991528516836546,0.00030798171064816415,0.07699542766204104
211,6.851267955399704,1.2125156878539656e-08,3.031289219634914e-06
212,11.117102929522936,9.336156381323235e-07,0.00023340390953308088
213,5.842435750394016,3.7860270474254776e-09,9.465067618563694e-07
214,5.304770682373624,1.7955701370198085e-09,4.488925342549521e-07
215,4.7132042559052785,5.472357567093411e-10,1.3680893917733528e-07
