step,reward
533,9.68
534,14.64
535,9.26
536,5.3
537,10.0
538,5.3
539,5.3
540,9.4
541,8.84
542,5.3
543,12.12
544,7.51
545,5.3
546,5.3
547,5.3
548,5.3
549,8.18
550,5.3
551,13.55
552,12.49
553,5.3
554,10.22
555,9.1
556,9.72
557,8.93
558,9.91
559,10.32
560,5.3
561,11.4
562,5.3
563,5.3
564,4.99
565,9.79
566,10.32
567,9.58
568,13.06
569,5.3
570,10.11
571,11.18
572,8.47
573,11.15
574,9.4
575,9.33
576,7.4
577,17.41
578,9.5
579,12.53
580,14.56
581,11.96
582,11.32
583,13.51
584,9.96
585,9.41
586,13.12
587,8.6
588,12.05
589,9.86
590,5.3
591,5.3
592,8.79
593,8.55
594,8.59
595,13.48
596,5.3
597,11.84
598,10.58
599,10.18
600,8.95
601,13.36
602,9.16
603,10.87
604,9.73
605,9.03
606,11.13
607,5.3
608,8.62
609,9.4
610,5.3
611,8.96
612,13.34
613,5.3
614,5.3
615,5.3
616,12.95
617,9.2
618,8.53
619,10.63
620,9.69
621,8.53
622,10.64
623,5.3
624,9.78
625,5.3
626,8.58
627,11.49
628,8.75
629,5.3
630,5.3
631,10.93
632,5.3
633,8.43
634,5.3
635,5.3
636,5.3
637,8.82
638,5.3
639,8.62
640,11.54
641,8.6
642,13.57
643,11.26
644,14.1
645,5.3
646,9.41
647,7.84
648,8.82
649,5.3
650,9.99
651,8.95
652,5.3
653,5.3
654,8.37
655,10.24
656,12.4
657,11.12
658,8.25
659,13.23
660,9.57
661,9.76
662,10.63
663,7.39
664,9.46
665,5.3
666,5.3
667,10.95
668,5.3
669,10.49
670,8.81
671,5.3
672,9.19
673,5.3
674,9.23
675,9.48
676,5.3
677,12.93
678,5.3
679,8.43
680,5.3
681,12.03
682,5.3
683,9.72
684,9.94
685,11.07
686,13.98
687,8.24
688,7.16
689,10.82
690,8.1
691,13.9
692,5.3
693,8.77
694,8.78
695,13.18
696,9.43
697,8.72
698,11.59
699,5.3
700,5.3
701,5.3
702,10.02
703,10.39
704,9.08
705,5.3
706,8.2
707,5.3
708,5.3
709,5.3
710,13.44
711,10.71
712,5.3
713,8.73
714,5.3
715,5.3
716,9.18
717,13.8
718,5.3
719,11.31
720,10.53
721,5.3
722,5.3
723,9.07
724,5.3
725,5.3
726,5.3
727,11.63
728,15.02
729,9.68
730,11.41
731,12.39
732,8.73
