step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
327702,22,0.026855468750000003,20.49728012084961,5.7770248531596735e-05,0.0,8,-1.0,0.3356321,-0.37093046,1.0,-20.0,1.0,160000,-1.0,-0.25795716,0.25505078,1.0,1.0,-0.78677213,0.85417724,-1.0,-0.46432287,0.4590914,1.0,1.0,-1.0,1.0
327703,23,0.028076171874999997,23.02511978149414,0.02797819674015045,0.0,8,0.43002445,1.0,-1.0,1.0,-43.876433968544006,1.0,154838,0.5953671,1.0,-1.0,1.0,-0.268822,-1.0,0.4496228,1.0,1.0,-1.0,1.0,-0.48387963,-1.0,0.80932105
327704,24,0.029296875,16.746143341064453,2.030196952773622e-07,0.0,8,0.43002445,1.0,0.030433536,-0.06002319,-20.0,1.0,82575,0.84995985,1.0,0.4780308,-1.0,0.3981142,-1.0,-0.17765963,1.0,1.0,0.8604554,-1.0,0.71660554,-1.0,-0.31978732
327705,25,0.030517578125,12.263065338134766,5.80845878062064e-08,0.0,8,0.43002445,1.0,-1.0,0.40083545,-20.0,1.0,160000,1.0,0.4367853,-0.7456167,-0.299523,0.7924342,-1.0,1.0,1.0,0.7862135,-1.0,-0.53914136,1.0,-1.0,1.0
327706,26,0.03173828125,22.57956314086914,0.007497519254684448,0.0,8,-1.0,1.0,-1.0,1.0,-48.806217312812805,1.0,160000,-1.0,0.30697978,-1.0,1.0,-0.40576047,-1.0,0.6795398,-1.0,0.5525636,-1.0,1.0,-0.7303688,-1.0,1.0
327707,27,0.032958984375,17.611194610595703,1.0693582197518481e-07,0.0,8,-0.9533938,1.0,-1.0,1.0,-48.91369879245758,1.0,160000,-0.21301013,1.0,-1.0,0.7882168,-0.40874606,-1.0,1.0,-0.38341823,1.0,-1.0,1.0,-0.73574287,-1.0,1.0
327708,28,0.0341796875,19.280752182006836,0.00025092397117987275,0.0,8,-1.0,1.0,-1.0,1.0,-20.0,1.0,47304,-0.6852847,1.0,-1.0,1.0,1.0,-1.0,-0.4838357,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.8709042
327709,29,0.035400390625,22.675092697143555,0.008979558013379574,0.0,8,0.43002445,1.0,-1.0,1.0,-20.0,1.0,160000,0.98916876,0.6688752,-1.0,0.48153,1.0,-1.0,1.0,1.0,1.0,-1.0,0.866754,1.0,-1.0,1.0
327710,30,0.03662109375,19.699644088745117,1.1094193723693024e-05,0.0,8,-1.0,0.061504543,-1.0,1.0,-47.673930525779724,1.0,160000,-0.83862746,-0.41025025,-0.88504714,1.0,-0.37430805,-1.0,1.0,-1.0,-0.7384504,-1.0,1.0,-0.67375445,-1.0,1.0
327711,31,0.037841796875,19.06846046447754,1.0975112672895193e-05,0.0,3,-1.0,0.9250008,-1.0,1.0,-20.0,1.0,123603,-0.32946408,-0.04122734,-1.0,1.0,0.9528369,-1.0,1.0,-0.59303534,-0.07420921,-1.0,1.0,1.0,-1.0,1.0
327712,32,0.0390625,19.13905906677246,7.864888175390661e-05,0.0,3,-1.0,1.0,-1.0,1.0,-20.0,1.0,72348,-0.9814028,1.0,-1.0,1.0,0.89114827,-1.0,0.11064118,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.19915412
